Time	Temperature	Heat Flow (Normalized)
s	°C	W/g
76,5000	0,700771	0,0185395
76,6000	0,710758	0,0181215
76,7000	0,719819	0,0175496
76,8000	0,727331	0,0172546
76,9000	0,736752	0,0171476
77,0000	0,745165	0,0167101
77,1000	0,755370	0,0158419
77,2000	0,764642	0,0151468
77,3000	0,773848	0,0144245
77,4000	0,782668	0,0136108
77,5000	0,793055	0,0124306
77,6000	0,802009	0,0112210
77,7000	0,812094	0,0101653
77,8000	0,820728	9,50390e-3
77,9000	0,830413	8,65528e-3
78,0000	0,839653	7,71272e-3
78,1000	0,848363	5,92114e-3
78,2000	0,858157	4,09227e-3
78,3000	0,867392	2,15603e-3
78,4000	0,876137	8,23934e-4
78,5000	0,885571	-2,99915e-4
78,6000	0,895231	-8,81565e-4
78,7000	0,904440	-1,61345e-3
78,8000	0,915743	-2,64791e-3
78,9000	0,924397	-3,50935e-3
79,0000	0,933634	-5,25565e-3
79,1000	0,942562	-6,87396e-3
79,2000	0,951986	-8,53831e-3
79,3000	0,962252	-9,08241e-3
79,4000	0,970232	-9,36944e-3
79,5000	0,981239	-9,70261e-3
79,6000	0,990462	-0,0103111
79,7000	0,999560	-0,0104326
79,8000	1,00909	-0,0106425
79,9000	1,01820	-0,0107003
80,0000	1,02820	-0,0107631
80,1000	1,03806	-0,0115198
80,2000	1,04826	-0,0124894
80,3000	1,05729	-0,0136293
80,4000	1,06580	-0,0146390
80,5000	1,07632	-0,0154645
80,6000	1,08560	-0,0161247
80,7000	1,09511	-0,0166771
80,8000	1,10427	-0,0170606
80,9000	1,11288	-0,0178869
81,0000	1,12337	-0,0185106
81,1000	1,13394	-0,0188637
81,2000	1,14418	-0,0192954
81,3000	1,15257	-0,0195032
81,4000	1,16307	-0,0196215
81,5000	1,17145	-0,0198478
81,6000	1,18125	-0,0205858
81,7000	1,19055	-0,0215228
81,8000	1,20027	-0,0219904
81,9000	1,20947	-0,0221979
82,0000	1,21917	-0,0225406
82,1000	1,22919	-0,0228064
82,2000	1,23876	-0,0228417
82,3000	1,24869	-0,0228949
82,4000	1,25745	-0,0228601
82,5000	1,26792	-0,0228196
82,6000	1,27790	-0,0227880
82,7000	1,28641	-0,0229022
82,8000	1,29692	-0,0231425
82,9000	1,30765	-0,0235564
83,0000	1,31585	-0,0241120
83,1000	1,32654	-0,0247820
83,2000	1,33430	-0,0255683
83,3000	1,34432	-0,0261895
83,4000	1,35469	-0,0265693
83,5000	1,36381	-0,0268418
83,6000	1,37218	-0,0269328
83,7000	1,38408	-0,0270149
83,8000	1,39323	-0,0272259
83,9000	1,40192	-0,0274607
84,0000	1,41172	-0,0276582
84,1000	1,42216	-0,0278858
84,2000	1,43176	-0,0280999
84,3000	1,44208	-0,0282485
84,4000	1,45176	-0,0283668
84,5000	1,46009	-0,0284826
84,6000	1,46928	-0,0285702
84,7000	1,47994	-0,0286404
84,8000	1,48879	-0,0287177
84,9000	1,49868	-0,0288188
85,0000	1,50921	-0,0289565
85,1000	1,51845	-0,0291062
85,2000	1,52980	-0,0293557
85,3000	1,53924	-0,0295816
85,4000	1,54774	-0,0298279
85,5000	1,55744	-0,0300363
85,6000	1,56669	-0,0302747
85,7000	1,57644	-0,0303381
85,8000	1,58643	-0,0303704
85,9000	1,59557	-0,0305686
86,0000	1,60452	-0,0306820
86,1000	1,61457	-0,0306987
86,2000	1,62473	-0,0307322
86,3000	1,63528	-0,0307615
86,4000	1,64467	-0,0308077
86,5000	1,65458	-0,0309828
86,6000	1,66539	-0,0312497
86,7000	1,67501	-0,0315649
86,8000	1,68319	-0,0317002
86,9000	1,69384	-0,0318132
87,0000	1,70345	-0,0318773
87,1000	1,71281	-0,0319326
87,2000	1,72254	-0,0319858
87,3000	1,73133	-0,0320332
