Filename	DSC_A1_1_0-100C_6Cmin_2
Instrument name	DSC2A-00281 (192.168.1.101)
Operator	JDAA
rundate	5/7/2024
Sample name	DSC_A1_1_0-100C_6C/min_2
proceduresegments	Equilibrate 0,00000 °C; Isothermal 0,5 min; Data On ; Ramp 6,00 °C/min to 100,000 °C; Mark End of Cycle ; Ramp 6,00 °C/min to 0,00000 °C; Mark End of Cycle ; Ramp 6,00 °C/min to 100,000 °C; Mark End of Cycle ; Mark End of Cycle ; Data Off 
[step]
Ramp 6,00 °C/min to 100,000 °C
Time	Temperature	Heat Flow (Normalized)
s	°C	W/g
45,1000	0,567997	0,111595
45,2000	0,575473	0,108751
45,3000	0,584378	0,107258
45,4000	0,593428	0,106299
45,5000	0,602804	0,105220
45,6000	0,611624	0,104618
45,7000	0,620646	0,103198
45,8000	0,629461	0,101602
45,9000	0,638689	0,100187
46,0000	0,647552	0,0985426
46,1000	0,656098	0,0953708
46,2000	0,665849	0,0920436
46,3000	0,675257	0,0888006
46,4000	0,684311	0,0856018
46,5000	0,693813	0,0827119
46,6000	0,702577	0,0799074
46,7000	0,710718	0,0788387
46,8000	0,719879	0,0775020
46,9000	0,728820	0,0757564
47,0000	0,737753	0,0762308
47,1000	0,747262	0,0757492
47,2000	0,756169	0,0741417
47,3000	0,765867	0,0731811
47,4000	0,775051	0,0719967
47,5000	0,785411	0,0699958
47,6000	0,794209	0,0677002
47,7000	0,803512	0,0657141
47,8000	0,812496	0,0640573
47,9000	0,821287	0,0625667
48,0000	0,830956	0,0607707
48,1000	0,839450	0,0602660
48,2000	0,849120	0,0589832
48,3000	0,858987	0,0576290
48,4000	0,867523	0,0562525
48,5000	0,877087	0,0539143
48,6000	0,885854	0,0511481
48,7000	0,895177	0,0491981
48,8000	0,904793	0,0482963
48,9000	0,913556	0,0473270
49,0000	0,923082	0,0458522
49,1000	0,933498	0,0447108
49,2000	0,942918	0,0438675
49,3000	0,951129	0,0428587
49,4000	0,960551	0,0418439
49,5000	0,970077	0,0411848
49,6000	0,979692	0,0396243
49,7000	0,989856	0,0381347
49,8000	0,998514	0,0370103
49,9000	1,00842	0,0366440
50,0000	1,01854	0,0361354
50,1000	1,02821	0,0350170
50,2000	1,03762	0,0336163
50,3000	1,04686	0,0324099
50,4000	1,05538	0,0317410
50,5000	1,06563	0,0307946
50,6000	1,07518	0,0301766
50,7000	1,08358	0,0292622
50,8000	1,09246	0,0283887
50,9000	1,10260	0,0274418
51,0000	1,11217	0,0266878
51,1000	1,12158	0,0260352
51,2000	1,13204	0,0247582
51,3000	1,14109	0,0237389
51,4000	1,15181	0,0229222
51,5000	1,15919	0,0222645
51,6000	1,16886	0,0217445
51,7000	1,17991	0,0213182
51,8000	1,18851	0,0212191
51,9000	1,19771	0,0211582
52,0000	1,20743	0,0207579
52,1000	1,21642	0,0202209
52,2000	1,22715	0,0198384
52,3000	1,23625	0,0190346
52,4000	1,24493	0,0185116
52,5000	1,25610	0,0182649
52,6000	1,26552	0,0177486
52,7000	1,27491	0,0171905
52,8000	1,28436	0,0167146
52,9000	1,29364	0,0166233
53,0000	1,30333	0,0164609
53,1000	1,31251	0,0159217
53,2000	1,32150	0,0150040
53,3000	1,33273	0,0139174
53,4000	1,34128	0,0124108
53,5000	1,35096	0,0109763
53,6000	1,36049	0,0100026
53,7000	1,36966	9,14114e-3
53,8000	1,38022	8,27645e-3
53,9000	1,38888	7,45254e-3
54,0000	1,39963	7,14539e-3
54,1000	1,40919	6,97677e-3
54,2000	1,41819	6,73359e-3
54,3000	1,42741	6,53836e-3
54,4000	1,43737	6,26761e-3
54,5000	1,44643	5,82994e-3
54,6000	1,45689	5,57941e-3
54,7000	1,46716	5,53925e-3
54,8000	1,47693	5,50693e-3
54,9000	1,48539	5,47133e-3
55,0000	1,49690	5,42175e-3
55,1000	1,50521	5,40073e-3
55,2000	1,51581	5,41397e-3
55,3000	1,52386	5,40708e-3
55,4000	1,53470	5,34564e-3
55,5000	1,54381	5,19498e-3
55,6000	1,55434	4,89028e-3
55,7000	1,56356	4,51126e-3
55,8000	1,57302	4,08257e-3
55,9000	1,58318	3,40901e-3
56,0000	1,59246	2,64780e-3
56,1000	1,60261	1,91903e-3
56,2000	1,61162	1,10212e-3
56,3000	1,62185	6,33536e-4
56,4000	1,63113	3,12695e-4
56,5000	1,64149	5,63987e-5
56,6000	1,65016	-1,65150e-4
56,7000	1,66127	-3,85741e-4
56,8000	1,67084	-5,92061e-4
56,9000	1,68007	-8,25109e-4
57,0000	1,68944	-1,10778e-3
57,1000	1,69946	-1,45116e-3
57,2000	1,70897	-1,67974e-3
57,3000	1,71896	-1,85532e-3
57,4000	1,72771	-1,93215e-3
57,5000	1,73680	-1,95483e-3
57,6000	1,74670	-2,03764e-3
57,7000	1,75668	-2,12707e-3
57,8000	1,76621	-2,13886e-3
57,9000	1,77691	-2,15226e-3
58,0000	1,78619	-2,17647e-3
58,1000	1,79688	-2,26703e-3
58,2000	1,80657	-2,41956e-3
58,3000	1,81554	-2,59456e-3
58,4000	1,82595	-2,75459e-3
58,5000	1,83614	-2,84627e-3
58,6000	1,84523	-2,88749e-3
58,7000	1,85485	-2,92090e-3
58,8000	1,86456	-2,95405e-3
58,9000	1,87326	-3,00552e-3
59,0000	1,88363	-3,13915e-3
59,1000	1,89362	-3,30284e-3
59,2000	1,90417	-3,58489e-3
59,3000	1,91216	-3,90428e-3
59,4000	1,92418	-4,14899e-3
59,5000	1,93316	-4,29660e-3
59,6000	1,94127	-4,38652e-3
59,7000	1,95254	-4,47435e-3
59,8000	1,96225	-4,55044e-3
59,9000	1,97166	-4,58058e-3
60,0000	1,98190	-4,75266e-3
60,1000	1,99148	-4,85294e-3
60,2000	2,00140	-4,97491e-3
60,3000	2,01014	-4,99971e-3
60,4000	2,02030	-5,05652e-3
60,5000	2,03086	-5,15760e-3
60,6000	2,04043	-5,28339e-3
60,7000	2,05038	-5,43321e-3
60,8000	2,06006	-5,60904e-3
60,9000	2,06895	-5,93457e-3
61,0000	2,07979	-6,19247e-3
61,1000	2,08896	-6,37660e-3
61,2000	2,09909	-6,42018e-3
61,3000	2,10948	-6,52146e-3
61,4000	2,11784	-6,52873e-3
61,5000	2,12824	-6,53304e-3
61,6000	2,13763	-6,54274e-3
61,7000	2,14719	-6,57633e-3
61,8000	2,15759	-6,60540e-3
61,9000	2,16748	-6,62734e-3
62,0000	2,17653	-6,68280e-3
62,1000	2,18720	-6,82016e-3
62,2000	2,19677	-7,02396e-3
62,3000	2,20689	-7,20224e-3
62,4000	2,21655	-7,31331e-3
62,5000	2,22646	-7,35381e-3
62,6000	2,23641	-7,38609e-3
62,7000	2,24563	-7,48476e-3
62,8000	2,25613	-7,52856e-3
62,9000	2,26527	-7,56748e-3
63,0000	2,27483	-7,59603e-3
63,1000	2,28566	-7,64283e-3
63,2000	2,29499	-7,71056e-3
63,3000	2,30446	-7,75310e-3
63,4000	2,31423	-7,79247e-3
63,5000	2,32338	-7,82587e-3
63,6000	2,33392	-7,85799e-3
63,7000	2,34352	-7,92150e-3
63,8000	2,35376	-7,98149e-3
63,9000	2,36436	-8,00496e-3
64,0000	2,37307	-8,05231e-3
64,1000	2,38287	-8,08368e-3
64,2000	2,39306	-8,12571e-3
64,3000	2,40349	-8,17882e-3
64,4000	2,41325	-8,24928e-3
64,5000	2,42241	-8,31043e-3
64,6000	2,43337	-8,36314e-3
64,7000	2,44309	-8,40351e-3
64,8000	2,45213	-8,46379e-3
64,9000	2,46166	-8,50372e-3
65,0000	2,47201	-8,54584e-3
65,1000	2,48133	-8,58241e-3
65,2000	2,49084	-8,61831e-3
65,3000	2,50018	-8,65772e-3
65,4000	2,51128	-8,70243e-3
65,5000	2,52125	-8,75103e-3
65,6000	2,53047	-8,79960e-3
65,7000	2,54074	-8,84471e-3
65,8000	2,55074	-8,88386e-3
65,9000	2,56044	-8,92463e-3
66,0000	2,56927	-8,96076e-3
66,1000	2,58002	-8,99244e-3
66,2000	2,58921	-9,02376e-3
66,3000	2,60012	-9,05627e-3
