Time	Temperature	Heat Flow (Normalized)
s	°C	W/g
60,0000	-0,135830	-0,165489
60,1000	-0,135036	-0,165490
60,2000	-0,136160	-0,165492
60,3000	-0,134665	-0,165489
60,4000	-0,135029	-0,165483
60,5000	-0,135833	-0,165480
60,6000	-0,135532	-0,165471
60,7000	-0,134196	-0,165459
60,8000	-0,135326	-0,165449
60,9000	-0,134872	-0,165438
61,0000	-0,134921	-0,165432
61,1000	-0,134560	-0,165426
61,2000	-0,134502	-0,165423
61,3000	-0,133399	-0,165426
61,4000	-0,134343	-0,165429
61,5000	-0,133496	-0,165422
61,6000	-0,134167	-0,165411
61,7000	-0,133296	-0,165388
61,8000	-0,133047	-0,165340
61,9000	-0,132897	-0,165298
62,0000	-0,134013	-0,165200
62,1000	-0,132956	-0,165041
62,2000	-0,131873	-0,164800
62,3000	-0,131859	-0,164380
62,4000	-0,131609	-0,163829
62,5000	-0,130706	-0,162968
62,6000	-0,130587	-0,161813
62,7000	-0,129543	-0,160029
62,8000	-0,130706	-0,157896
62,9000	-0,129700	-0,154998
63,0000	-0,129218	-0,151826
63,1000	-0,127178	-0,148132
63,2000	-0,126340	-0,143293
63,3000	-0,124661	-0,138429
63,4000	-0,123964	-0,133091
63,5000	-0,122050	-0,127031
63,6000	-0,121090	-0,119503
63,7000	-0,120937	-0,112697
63,8000	-0,118389	-0,107408
63,9000	-0,117667	-0,102164
64,0000	-0,115206	-0,0971405
64,1000	-0,114472	-0,0917103
64,2000	-0,113041	-0,0866467
64,3000	-0,110617	-0,0812383
64,4000	-0,109116	-0,0763432
64,5000	-0,106500	-0,0714238
64,6000	-0,106093	-0,0657843
64,7000	-0,103049	-0,0609154
64,8000	-0,100912	-0,0556538
64,9000	-0,0983937	-0,0504300
65,0000	-0,0958841	-0,0454596
65,1000	-0,0930944	-0,0402606
65,2000	-0,0893591	-0,0341403
65,3000	-0,0877225	-0,0286662
65,4000	-0,0841865	-0,0224022
65,5000	-0,0824711	-0,0165310
65,6000	-0,0793496	-0,0108812
65,7000	-0,0755207	-5,74805e-3
65,8000	-0,0727751	-1,74611e-3
65,9000	-0,0694511	3,91631e-3
66,0000	-0,0650637	9,02527e-3
66,1000	-0,0612034	0,0124684
66,2000	-0,0566775	0,0173932
66,3000	-0,0531557	0,0225441
66,4000	-0,0502246	0,0280849
66,5000	-0,0445041	0,0333994
66,6000	-0,0416050	0,0378124
66,7000	-0,0373671	0,0427358
66,8000	-0,0332993	0,0463955
66,9000	-0,0287182	0,0495361
67,0000	-0,0243595	0,0530412
67,1000	-0,0186790	0,0565892
67,2000	-0,0146129	0,0605554
67,3000	-9,30596e-3	0,0647936
67,4000	-5,37649e-3	0,0689879
67,5000	-5,39989e-4	0,0725467
67,6000	5,06752e-3	0,0761635
67,7000	0,0102150	0,0789462
67,8000	0,0168768	0,0811832
67,9000	0,0200466	0,0827494
68,0000	0,0280062	0,0841813
68,1000	0,0314998	0,0865135
68,2000	0,0369184	0,0872516
68,3000	0,0436081	0,0896844
68,4000	0,0497063	0,0925013
68,5000	0,0555018	0,0955056
68,6000	0,0605956	0,0967039
68,7000	0,0669120	0,0991407
68,8000	0,0729528	0,101962
68,9000	0,0800961	0,104209
69,0000	0,0864764	0,105813
69,1000	0,0932436	0,106554
69,2000	0,0992923	0,107181
69,3000	0,105460	0,106614
69,4000	0,111523	0,106819
69,5000	0,118909	0,107249
69,6000	0,125549	0,107179
69,7000	0,132465	0,105680
69,8000	0,139543	0,105399
69,9000	0,146403	0,104894
70,0000	0,153713	0,105161
70,1000	0,159535	0,105385
70,2000	0,167616	0,105610
70,3000	0,174605	0,105454
