code	label	notes	old_code	collection_day	collection_month	collection_year	death_date	sex_code	refrigerator	tray	row	column	location_code	location	genus	species	country	province	latitude	longitude	elevation	light_dark	histology_location	histology_stage_performed	histology_stage_next_up	rna_location	etoh_voucher	elytron	purpose
76	CICIMAUCR0076 //SEX: U	C. optima -e Oficina Libby	NO CODE						1	1	4	2					COSTA RICA												
77	CICIMAUCR0077 //SEX: U 22.X.2021	C. optima -e sin 1 elitro  - 1 elitro F. vasquez 22/10/21	NO CODE	22	10	2021			1	1	4	2					COSTA RICA												RNA-opsins
78	CICIMAUCR0078 //SEX: M 3.VII.2016	Chrysina bruyeai male COSTA RICA, GUANACASTE, Volcan Cacao XXX msnm 30-VII-2016	10	3	7	2016		M	1	1	4	2		Volcan Cacao	Chrysina	bruyeai	COSTA RICA	GUANACASTE				Muestra  SEM (?) y confocal							
79	CICIMAUCR0079 //SEX: F? 3.VII.2016	Chrysina bruyeai female? COSTA RICA, GUANACASTE, Volcan Cacao XXX msnm 30-VII-2016	9	3	7	2016		F?	1	1	4	2		Volcan Cacao	Chrysina	bruyeai	COSTA RICA	GUANACASTE											
8	CICIMAUCR0008 AM//SEX: U 2022	AM '22	kali2			2022			1	2	1	1	AM				COSTA RICA	PUNTARENAS											
80	CICIMAUCR0080 TP//SEX: U 2018	1 elitro F. Vasquez 22/10/21 C. optima Tapanti 2018	NO CODE			2018			1	1	4	2	TP				COSTA RICA	CARTAGO											
81	CICIMAUCR0081 TP?//SEX: U	Desconocido negro y blanco -+Tapanti?	NO CODE						1	1	4	2	TP?				COSTA RICA												
82	CICIMAUCR0082 TP//SEX: M V.2018	C. optima (r) male Col. Mayo 2018 Tapanti	NO CODE		5	2018		M	1	1	4	2	TP				COSTA RICA	CARTAGO											
83	CICIMAUCR0083 VB-SR//SEX: U IV.2016	C.? (verde) Villa Blanca Abril 2016, sin cabeza (ojos para prep)	NO CODE		4	2016			1	1	4	2	VB-SR				COSTA RICA	ALAJUELA											
84	CICIMAUCR0084 CP//SEX: U 4.VI.2017	Desconocido  (cobrizo) Col 4-VI-17 Reserva El Copal. Muerto 14-VI-17	NO CODE	4	6	2017	14.VI.2017		1	1	4	2	CP				COSTA RICA												
85	CICIMAUCR0085 //SEX: U	Anomala. Sin informacion	NO CODE						1	1	4	2					COSTA RICA												
86	CICIMAUCR0086 TP//SEX: U	Desconocido Tapanti	NO CODE						1	1	4	2	TP				COSTA RICA	CARTAGO											
87	CICIMAUCR0087 TP//SEX: U	Desconocido Tapanti	NO CODE						1	1	4	2	TP				COSTA RICA	CARTAGO											
88	CICIMAUCR0088 TP//SEX: M 23-25.VII.2016	Chrysina boucardi, male. COSTA RICA, CARTAGO. P.N. Tapanti 1500 msnm 23-25-VII-2016	1	23-25	7	2016		M	1	1	4	3	TP	Parque Nacional Tapanti	Chrysina	boucardi	COSTA RICA	CARTAGO	"9deg42'13.42""N"	"83deg46'55.34""W"	1500								
89	CICIMAUCR0089 TP//SEX: M 23-25.VII.2016	Chrysina boucardi male. COSTA RICA, CARTAGO. P.N. Tapanti. 1500 msnm. 23-25-VII-2016	2	23-25	7	2016		M	1	1	4	3	TP	Parque Nacional Tapanti	Chrysina	boucardi	COSTA RICA	CARTAGO	"9deg42'13.42""N"	"83deg46'55.34""W"	1500								RNA-opsins
9	CICIMAUCR0009 AM//SEX: U 2022	AM	kali1			2022			1	2	1	1	AM				COSTA RICA	PUNTARENAS											
90	CICIMAUCR0090 TP//SEX: M 23-25.VII.2016	Chrysina boucardi male. COSTA RICA, CARTAGO. P.N. Tapanti. 1500 msnm. 23-25-VII-2016	3	23-25	7	2016		M	1	1	4	3	TP	Parque Nacional Tapanti	Chrysina	boucardi	COSTA RICA	CARTAGO	"9deg42'13.42""N"	"83deg46'55.34""W"	1500								
91	CICIMAUCR0091 TP//SEX: M 23-25.VII.2016	Chrysina boucardi male. COSTA RICA, CARTAGO. P.N. Tapanti. 1500 msnm. 23-25-VII-2016	4	23-25	7	2016		M	1	1	4	3	TP	Parque Nacional Tapanti	Chrysina	boucardi	COSTA RICA	CARTAGO	"9deg42'13.42""N"	"83deg46'55.34""W"	1500								
92	CICIMAUCR0092 TP//SEX: M 23-25.VII.2016	Chrysina boucardi male. COSTA RICA, CARTAGO. P.N. Tapanti. 1500 msnm. 23-25-VII-2016	5	23-25	7	2016		M	1	1	4	3	TP	Parque Nacional Tapanti	Chrysina	boucardi	COSTA RICA	CARTAGO	"9deg42'13.42""N"	"83deg46'55.34""W"	1500								RNA-opsins
93	CICIMAUCR0093 TP//SEX: U 29.V.2016	Chrysina boucardi male. COSTA RICA, CARTAGO. P.N. Tapanti. 1500 msnm. 29-V-2016	6	29	5	2016			1	1	4	3	TP		Chrysina	optima	COSTA RICA	CARTAGO	"9deg42'13.42""N"	"83deg46'55.34""W"									
94	CICIMAUCR0094 TP//SEX: M 29.V.2016	Chrysina optima male. COSTA RICA, CARTAGO. P. N. Tapanti. 1500 msnm. 29-V-2016	7	29	5	2016		M	1	1	4	3	TP	Parque Nacional Tapanti	Chrysina	optima	COSTA RICA	CARTAGO	"9deg42'13.42""N"	"83deg46'55.34""W"	1500								RNA-opsins
95	CICIMAUCR0095 TP//SEX: M 29.V.2016	Chrysina boucardi male. COSTA RICA, CARTAGO. P.N. Tapanti. 1500 msnm. 29-V-2016	12	29	5	2016		M	1	1	4	3	TP	Parque Nacional Tapanti	Chrysina	boucardi	COSTA RICA	CARTAGO	"9deg42'13.42""N"	"83deg46'55.34""W"	1500	Muestras: confocal, SEM y Perfilometria							
96	CICIMAUCR0096 TP//SEX: M 29.V.2016	Chrysina optima male. COSTA RICA, CARTAGO. P.N. Tapanti. 1500 msnm. 29-V-2016	13	29	5	2016		M	1	1	4	3	TP	Parque Nacional Tapanti	Chrysina		COSTA RICA	CARTAGO	"9deg42'13.42""N"	"83deg46'55.34""W"	1500								
97	CICIMAUCR0097 AM//SEX: U 2022	AM11 KALI 23	NO CODE			2022			1	2	2	3	AM				COSTA RICA	PUNTARENAS											
98	CICIMAUCR0098 MV//SEX: M 2023	MV	3			2023		M	1	2	2	3	MV		Chrysina	cupreomarginata	COSTA RICA	PUNTARENAS											
99	CICIMAUCR0099 //SEX: U 2023	NA	NO CODE			2023			1	2	2	3					COSTA RICA		°										
