code	label	notes	old_code	collection_day	collection_month	collection_year	death_date	sex_code	refrigerator	tray	row	column	location_code	location	genus	species	country	province	latitude	longitude	elevation	light_dark	histology_location	histology_stage_performed	histology_stage_next_up	rna_location	etoh_voucher	elytron	purpose
155	CICIMAUCR0155 //SEX: U	(Bolsa ziploc con un escarabajo adentro)	NO CODE						1	3	4	2					COSTA RICA												
156	CICIMAUCR0156 MV//SEX: M 28.v.2023	Chrysargyrea 55 light male	55	28	5	2023		M	1	3	4	2	MV	nr. Reserva Bosque Nuboso Santa Elena	Chrysina	chrysargyrea	COSTA RICA	GUANACASTE				light-adapted							eye histology
157	CICIMAUCR0157 MV//SEX: M 28.v.2023	Chrysargyrea 62 male hist	62	28	5	2023		M	1	3	4	2	MV	nr. Reserva Bosque Nuboso Santa Elena	Chrysina	chrysargyrea	COSTA RICA	GUANACASTE				dark-adapted							eye histology
158	CICIMAUCR0158 MV//SEX: F 2023	K32 en la tapa MV 23-15 elitro derecho p/ UV-VIS-IR Marcela 5/09/23	15			2023		F	1	3	4	3	MV	Monteverde	Chrysina	cupreomarginata	COSTA RICA	PUNTARENAS											general
159	CICIMAUCR0159 //SEX: U 2023	kenji	23-83			2023			1	3	4	3					COSTA RICA												
16	CICIMAUCR0016 MV//SEX: M 28.v.2023	MV	54	28	5	2023		M	1	2	1	2	MV	nr. Reserva Bosque Nuboso Santa Elena	Chrysina	chrysargyrea	COSTA RICA	GUANACASTE				light-adapted							RNA-opsins
160	CICIMAUCR0160 AM//SEX: U 3.V.22	Right mesothoracic leg pulled by Angel Solis	PLATY-1	3	5	2022			1	1	2	1	AM	Altamira, La Amistad, COSTA RICA	Platycoelia	sp.	COSTA RICA	PUNTARENAS	09.029891	-83.009678	1369 m	Light	Left eye, B1	through 1X PBS wash series	Osmication	Right eye, green box B2	95%	right, dry	
161	CICIMAUCR0161 //SEX: U	NA	86						1	3	4	3					COSTA RICA												
162	CICIMAUCR0162 MV//SEX: U 2023		72			2023			2	2			MV	Monteverde			COSTA RICA	PUNTARENAS											
163	CICIMAUCR0163 MV//SEX: U 2023		73			2023			2	2			MV	Monteverde			COSTA RICA	PUNTARENAS											
164	CICIMAUCR0164 MV//SEX: U 2023		74			2023			2	2			MV	Monteverde			COSTA RICA	PUNTARENAS											
165	CICIMAUCR0165 MV//SEX: U 2023		75			2023			2	2			MV	Monteverde			COSTA RICA	PUNTARENAS											
166	CICIMAUCR0166 MV//SEX: U 2023		77			2023			2	2			MV	Monteverde			COSTA RICA	PUNTARENAS											
167	CICIMAUCR0167 MV//SEX: U 2023		78			2023			2	2			MV	Monteverde			COSTA RICA	PUNTARENAS											
168	CICIMAUCR0168 MV//SEX: U 2023		81			2023			2	2			MV	Monteverde			COSTA RICA	PUNTARENAS											
169	CICIMAUCR0169 MV//SEX: U 2023	Taza rosada con muchos huecos, sin numero	NO CODE			2023			2	3			MV	Monteverde			COSTA RICA	PUNTARENAS											
17	CICIMAUCR0017 MV//SEX: F 28.v.2023	MV	56	28	5	2023		F	1	2	1	2	MV	nr. Reserva Bosque Nuboso Santa Elena	Chrysina	chrysargyrea	COSTA RICA	GUANACASTE				light-adapted							
170	CICIMAUCR0170 MV//SEX: U 2023		71			2023			2	3			MV	Monteverde			COSTA RICA	PUNTARENAS											
171	CICIMAUCR0171 MV//SEX: U 2023		80			2023			2	3			MV	Monteverde			COSTA RICA	PUNTARENAS											
172	CICIMAUCR0172 MV//SEX: U 2023		82			2023			2	3			MV	Monteverde			COSTA RICA	PUNTARENAS											
173	CICIMAUCR0173 MV//SEX: U 2023		84			2023			2	3			MV	Monteverde			COSTA RICA	PUNTARENAS											
174	CICIMAUCR0174 MV//SEX: U 2023		85			2023			2	3			MV	Monteverde			COSTA RICA	PUNTARENAS											
175	CICIMAUCR0175 MV//SEX: U 2023	TEST	85	nan	nan	2023.0	nan	nan	2	3	nan	nan	MV	Monteverde	nan	nan	COSTA RICA	PUNTARENAS	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
18	CICIMAUCR0018 MV//SEX: M 2023	MV	8			2023		M	1	2	1	2	MV		Chrysina	cupreomarginata	COSTA RICA	PUNTARENAS				light-adapted							RNA-opsins
19	CICIMAUCR0019 MV//SEX: F 28.v.2023	MV	51	28	5	2023		F	1	2	1	2	MV	nr. Reserva Bosque Nuboso Santa Elena	Chrysina	cupreomarginata	COSTA RICA	GUANACASTE				light-adapted							RNA-opsins
2	CICIMAUCR0002 AM//SEX: M 3.V.2022	male AM 3.V.22	NO CODE	3	5	2022		M	1	2	1	1	AM				COSTA RICA	PUNTARENAS											
20	CICIMAUCR0020 MV//SEX: M 28.v.2023	MV	53	28	5	2023		M	1	2	1	3	MV	nr. Reserva Bosque Nuboso Santa Elena	Chrysina	resplendens	COSTA RICA	GUANACASTE				light-adapted							RNA-opsins
21	CICIMAUCR0021 MV//SEX: F? 2023	MV	5			2023		F?	1	2	1	3	MV		Chrysina	resplendens	COSTA RICA	PUNTARENAS				light-adapted							
22	CICIMAUCR0022 MV//SEX: F? 2023	MV	7			2023		F?	1	2	1	2	MV		Chrysina	boucardi	COSTA RICA	PUNTARENAS				light-adapted							RNA-opsins
23	CICIMAUCR0023 //SEX: U 2022	ETOH VOVELV	MA99:1			2022			1	1	1	1					COSTA RICA												
24	CICIMAUCR0024 AM//SEX: U 3.v.22	ETOH	CALI-1	3	5	2022			1	1	1	3	AM	Altamira, La Amistad, COSTA RICA	Calistethus	sp.	COSTA RICA	PUNTARENAS	09.029891	-83.009678	1369 m	Light	Left eye, B6	through 1X PBS wash series	Osmication	Right eye, green box A3	95%	right, dry	
25	CICIMAUCR0025 AM//SEX: U 3.V.22	Right mesothoracic leg pulled by Angel Solis	PLATY-2	3	5	2022			1	1	2	1	AM	Altamira, La Amistad, COSTA RICA	Platycoelia	sp.	COSTA RICA	PUNTARENAS	09.029891	-83.009678	1369 m	Dark	Left eye, B2	through 1X PBS wash series	Osmication	Right eye, green box B3	95%	right, dry	
26	CICIMAUCR0026 TP//SEX: U 7.V.22	Left metathoracic leg pulled for Angel Solis/Right mesothoracic leg pulled by Angel Solis	PLATY-3	7	5	2022			1	1	2	1	TP	Tapanti, COSTA RICA	Platycoelia	sp.	COSTA RICA	CARTAGO	09.703526	-83.781989	1487 m	Light	Left eye, C3	through 1X PBS wash series	Osmication	Right eye, C3	95%	right, dry	
27	CICIMAUCR0027 TP//SEX: U 7.V.22	Right mesothoracic leg pulled by Angel Solis	PLATY-4	7	5	2022			1	1	2	1	TP	Tapanti, COSTA RICA	Platycoelia	sp.	COSTA RICA	CARTAGO	09.703526	-83.781989	1487 m	Dark	Left eye, C4	through 1X PBS wash series	Osmication	Right eye, C4	95%	right, dry	
28	CICIMAUCR0028 AM//SEX: U 3.V.22	Right mesothoracic leg pulled by Angel Solis	PELID-1	3	5	2022			1	1	2	1	AM	Altamira, La Amistad, COSTA RICA	Pelidnota	sp. chiriquina or chiricicola	COSTA RICA	PUNTARENAS	09.029891	-83.009678	1369 m	Light	Left eye, B4	through 1X PBS wash series	Osmication	Right eye, green box A5	95%	right, dry	
29	CICIMAUCR0029 AM//SEX: U 3.V.22	Right mesothoracic leg pulled by Angel Solis	PELID-2	3	5	2022			1	1	2	1	AM	Altamira, La Amistad, COSTA RICA	Pelidnota	sp. chiriquina or chiricicola	COSTA RICA	PUNTARENAS	09.029891	-83.009678	1369 m	Dark	Left eye, B5	through 1X PBS wash series	Osmication	Right eye, green box, B1	95%	right, dry	
3	CICIMAUCR0003 AM//SEX: M V.2022	male AM V.22	NO CODE		5	2022		M	1	2	1	1	AM				COSTA RICA	PUNTARENAS											
30	CICIMAUCR0030 TP//SEX: U 2022	V. bovendi P.N  Tapanti 07.V.2022	NO CODE			2022			1	1	2	2	TP				COSTA RICA	CARTAGO											
31	CICIMAUCR0031 PI//SEX: M 13.V.22	Male EtOH 95% Pitilla, Right mesothoracic leg pulled by Angel Solis	AURI-1	13	5	2022		M	1	1	2	3	PI	Pitilla, COSTA RICA	Chrysina	aurigans	COSTA RICA	GUANACASTE	10.984811	-85.426046	732 m	Light	Left eye, E1	initial fixation (noon on 14 May)	Osmication	Right eye, E1	95%	right, dry	
32	CICIMAUCR0032 PI//SEX: F 13.V.22	Right mesothoracic leg pulled by Angel Solis	AURI-2	13	5	2022		F	1	1	2	3	PI	Pitilla, COSTA RICA	Chrysina	aurigans	COSTA RICA	GUANACASTE	10.984811	-85.426046	732 m	Light	Left eye, E2	initial fixation (noon on 14 May)	Osmication	Right eye, E2	95%	right, dry	
33	CICIMAUCR0033 TP//SEX: M 7.V.22	Chrysina optima CoPTG-1 7.V.2022 Tapanti EtOh95% Vouchv,Right mesothoracic leg pulled by Angel Solis	OPTG-1	7	5	2022		M	1	1	3	1	TP	Tapanti, COSTA RICA	Chrysina	optima (gold form)	COSTA RICA	CARTAGO	09.703526	-83.781989	1487 m	Light	Left eye, D1	through 1X PBS wash series	Osmication	Right eye, D1	95%	right, dry	
34	CICIMAUCR0034 TP//SEX: M 7.V.22	Right mesothoracic leg pulled by Angel Solis	OPTS-2	7	5	2022		M	1	1	3	1	TP	Tapanti, COSTA RICA	Chrysina	optima (silver form)	COSTA RICA	CARTAGO	09.703526	-83.781989	1487 m	Dark	Left eye, C2	through 1X PBS wash series	Osmication	Right eye, C2	95%	right, dry	
35	CICIMAUCR0035 TP//SEX: M 7.V.22	PLAM3 OPTS 2 PLATS 4 ETOH, Left metathoracic leg pulled for Angel Solis / Right mesothoracic leg pulled by Angel Solis	OPTS-1	7	5	2022		M	1	1	3	1	TP	Tapanti, COSTA RICA	Chrysina	optima (silver form)	COSTA RICA	CARTAGO	09.703526	-83.781989	1487 m	Light	Left eye, C1	through 1X PBS wash series	Osmication	Right eye, C1	95%	right, dry	
36	CICIMAUCR0036 TP//SEX: M 7.V.22	OPTS-3 C. optima male light EtOH 95% Tapanti 7.V.2022, Right mesothoracic leg pulled by Angel Solis	OPTS-3	7	5	2022		M	1	1	3	1	TP	Tapanti, COSTA RICA	Chrysina	optima (silver form)	COSTA RICA	CARTAGO	09.703526	-83.781989	1487 m	Light	Left eye, D2	through 1X PBS wash series	Osmication	Right eye, D2	95%	right, dry	
37	CICIMAUCR0037 TP//SEX: F 7.V.22	Female, unreadable, Right mesothoracic leg pulled by Angel Solis	OPTS-4	7	5	2022		F	1	1	3	1	TP	Tapanti, COSTA RICA	Chrysina	optima (silver form)	COSTA RICA	CARTAGO	09.703526	-83.781989	1487 m	Light	Left eye, D3	through 1X PBS wash series	Osmication	Right eye, D3	95%	right, dry	
38	CICIMAUCR0038 TP//SEX: M IV.2017	C.optima (p) COSTA RICA, CARTAGO. P.N. Tapanti 1500 msnm Col Abril 2017 ERG-DI 9-V-2017	2017-2		4	2017	9.V.2017	M	1	1	3	2	TP		Chrysina	optima	COSTA RICA	CARTAGO											
39	CICIMAUCR0039 TP//SEX: F IV.2017	C.optima (p) COSTA RICA, CARTAGO. P.N. Tapanti 1500 msnm Col Abril 2017 ERG-DI 8-V-2017	2017-3		4	2017	8.V.2017	F	1	1	3	2	TP		Chrysina	optima	COSTA RICA	CARTAGO											
4	CICIMAUCR0004 AM//SEX: M V.2022	male AM V.22	NO CODE		5	2022		M	1	2	1	1	AM				COSTA RICA	PUNTARENAS											
40	CICIMAUCR0040 TP//SEX: M IV.2017	C.optima (p) COSTA RICA, CARTAGO. P.N. Tapanti 1500 msnm Col Abril 2017  ERG-DI 9-V-2017	2017-4		4	2017	9.V.2017	M	1	1	3	2	TP		Chrysina	optima	COSTA RICA	CARTAGO											
41	CICIMAUCR0041 TP//SEX: F IV.2017	C.optima (p) COSTA RICA, CARTAGO. P.N. Tapanti 1500 msnm Col Abril 2017  ERG-DI 12-V-2017	2017-5		4	2017	12.V.2017	F	1	1	3	2	TP		Chrysina	optima	COSTA RICA	CARTAGO											
42	CICIMAUCR0042 TP//SEX: F IV.2017	C.optima (p) COSTA RICA, CARTAGO. P.N. Tapanti 1500 msnm Col Abril 2017  ERG-DI ?-V-2017	2017-6		4	2017	V.2017	F	1	1	3	2	TP		Chrysina	optima	COSTA RICA	CARTAGO											
43	CICIMAUCR0043 TP//SEX: F IV.2017	C.optima (p) COSTA RICA, CARTAGO. P.N. Tapanti 1500 msnm Col Abril 2017 ERG-DI 15-V-2017	2017-7		4	2017	15.V.2017	F	1	1	3	2	TP		Chrysina	optima	COSTA RICA	CARTAGO											
44	CICIMAUCR0044 TP//SEX: M IV.2017	C.optima (p) COSTA RICA, CARTAGO. P.N. Tapanti 1500 msnm Col Abril 2017 ERG-D 16-V-2017	2017-8		4	2017	16.V.2017	M	1	1	3	2	TP		Chrysina	optima	COSTA RICA	CARTAGO											
45	CICIMAUCR0045 TP//SEX: F IV.2017	C.optima (p) COSTA RICA, CARTAGO. P.N. Tapanti 1500 msnm Col Abril 2017 16-V-2017	2017-9		4	2017	16.V.2017	F	1	1	3	2	TP		Chrysina	optima	COSTA RICA	CARTAGO											
46	CICIMAUCR0046 TP//SEX: F IV.2017	C.optima (p) COSTA RICA, CARTAGO. P.N. Tapanti 1500 msnm Col Abril 2017  8-V-2017	2017-10		4	2017	8.V.2017	F	1	1	3	2	TP		Chrysina	optima	COSTA RICA	CARTAGO											
47	CICIMAUCR0047 TP//SEX: M IV.2017	C.optima (p) COSTA RICA, CARTAGO. P.N. Tapanti 1500 msnm Col Abril 2017 8-V-2017	2017-11		4	2017	8.V.2017	M	1	1	3	2	TP		Chrysina	optima	COSTA RICA	CARTAGO											
48	CICIMAUCR0048 TP//SEX: F IV.2017	C.optima (p) COSTA RICA, CARTAGO. P.N. Tapanti 1500 msnm Col Abril 2017  8-V-2017	2017-12		4	2017	8.V.2017	F	1	1	3	2	TP		Chrysina	optima	COSTA RICA	CARTAGO											
49	CICIMAUCR0049 TP//SEX: F IV.2017	C.optima (p) COSTA RICA, CARTAGO. P.N. Tapanti 1500 msnm Col Abril 2017 15-V-2017	2017-15		4	2017	15.V.2017	F	1	1	3	2	TP		Chrysina	optima	COSTA RICA	CARTAGO											
5	CICIMAUCR0005 MV//SEX: F? VI.2023	MV 6 MV 23	6		6	2023		F?	1	2	1	1	MV		Chrysina	boucardi	COSTA RICA	PUNTARENAS				dark-adapted							RNA-opsins
50	CICIMAUCR0050 TP//SEX: M IV.2017	C.optima (p) COSTA RICA, CARTAGO. P.N. Tapanti 1500 msnm Col Abril 2017 ERG-D 15-V-2017	2017-16		4	2017	15.V.2017	M	1	1	3	2	TP		Chrysina	optima	COSTA RICA	CARTAGO											
51	CICIMAUCR0051 TP//SEX: F IV.2017	C.optima (p) COSTA RICA, CARTAGO. P.N. Tapanti 1500 msnm Col Abril 2017 15-V-2017	2017-17		4	2017	15.V.2017	F	1	1	3	2	TP		Chrysina	optima	COSTA RICA	CARTAGO											
52	CICIMAUCR0052 TP//SEX: M IV.2017	C.optima (p) COSTA RICA, CARTAGO. P.N. Tapanti 1500 msnm Col Abril 2017 2-V-2017	2017-18		4	2017	2.V.2017	M	1	1	3	2	TP		Chrysina	optima	COSTA RICA	CARTAGO											
