wavelength,corrected_reflectance
350.60193709,
351.03772818,
351.47350942,
351.90928082,
352.34504234,
352.78079397,
353.21653569,
353.65226748,
354.08798932,62.49346200374518
354.5237012,62.57281283900118
354.95940309,62.43666231609087
355.39509497,62.497831369305516
355.83077683,62.7434494808231
356.26644864,62.77731952098229
356.70211039,63.2022006260836
357.13776206,63.34366145923263
357.57340363,63.33882608530121
358.00903508,63.099629771907686
358.44465639,63.190384228227366
358.88026755,62.88351372747412
359.31586852,63.06039357948463
359.7514593,63.501932385592674
360.18703986,63.262302368018
360.62261019,63.177380056505264
361.05817026,63.344811466551164
361.49372007,63.30529692195175
361.92925958,63.22335936494895
362.36478878,63.487204223269785
362.80030765,62.9156227483459
363.23581617,62.73641113121134
363.67131432,62.8932657128577
364.10680209,62.959840025037856
364.54227945,62.88691959991554
364.97774638,62.98530586742872
365.41320287,62.85638143514013
365.8486489,62.95263892591939
366.28408445,63.0752914221166
366.71950949,63.272664538215125
367.15492401,63.15043728056707
367.590328,63.08540965028785
368.02572142,63.23213991881396
368.46110427,63.58725979347443
368.89647652,63.44944639008215
369.33183815,63.21370015906902
369.76718915,63.31092608358981
370.2025295,63.164684887818346
370.63785917,63.20990563971487
371.07317815,63.0957827838723
371.50848642,62.90202408405884
371.94378395,62.815151867798114
372.37907074,62.532421627535896
372.81434676,62.28292019766274
373.24961199,62.12532735076423
373.68486642,62.05197281079554
374.12011002,62.01343849529209
374.55534277,62.205490708291464
374.99056467,62.24562118950703
375.42577567,62.514828379257466
375.86097578,62.47942167460676
376.29616497,62.77935356167779
376.73134321,62.82714743385476
377.1665105,62.57717966260956
377.6016668,62.553846876911095
378.03681211,62.788579301289744
378.47194641,62.54188106372892
378.90706966,62.5497498178491
379.34218187,62.41726198048686
379.777283,62.6707180500003
380.21237303,62.54378416567687
380.64745196,62.36853581004324
381.08251975,62.30976938818265
381.5175764,62.10483217894998
381.95262187,62.1532686375167
382.38765616,62.2867719548468
382.82267924,62.292853686471155
383.25769109,62.329367417512046
383.6926917,62.17407107159478
384.12768105,62.04131976628161
384.56265911,62.47964855344621
384.99762586,62.59977882974701
385.4325813,62.72253236693158
385.8675254,62.77554076358775
386.30245813,63.34511904339105
386.73737949,63.53135682659425
387.17228945,63.628584381239634
387.60718799,63.38073384020624
388.04207509,63.210961021633814
388.47695074,63.55963708534693
388.91181492,63.30972447811344
389.3466676,63.2031729643293
389.78150877,63.40479841867919
390.21633841,63.3356167613797
390.6511565,63.10107207156436
391.08596302,63.114591526761906
391.52075795,62.96450773209893
391.95554127,62.89601067092679
392.39031297,63.054921368665774
392.82507302,62.97486020257129
393.2598214,62.84862873027884
393.6945581,63.05898366959196
394.1292831,62.865659954451786
394.56399638,62.65616976994511
394.99869791,62.82828949458603
395.43338769,62.57716120416831
395.86806568,62.47268847174148
396.30273188,62.36946340916496
396.73738625,62.01014476704605
397.1720288,61.807294088341365
397.60665948,61.584743286939485
398.04127829,61.081167566766105
398.47588521,60.93852415747694
398.91048022,60.47579286027338
399.34506329,60.16932975119501
399.77963441,59.43383785424457
400.21419356,58.33336036651626
400.64874072,57.47418582242736
401.08327588,56.643470897225605
401.517799,55.30187822558369
401.95231008,53.71600664360901
402.3868091,52.03570892183798
402.82129603,50.236142575636606
403.25577086,48.09099758987674
403.69023356,46.14142370615037
404.12468412,44.15916928933438
404.55912252,42.04096456489835
404.99354874,39.90179105880913
405.42796276,37.9717224730587
405.86236457,35.97029092997208
406.29675414,34.149100099020764
406.73113145,32.339002504221156
407.16549648,30.668817205194145
407.59984922,29.226345512471138
408.03418965,27.760361758578096
408.46851774,26.408055075294087
408.90283349,25.14391966859746
409.33713686,23.99389977391416
409.77142784,22.92575439038316
410.20570642,21.942134596018665
410.63997256,21.0946002939838
411.07422626,20.354932502686353
411.50846749,19.65776582497569
411.94269624,19.0602555724711
412.37691248,18.533601828249303
412.81111621,18.099793536209607
413.24530738,17.688137015098825
413.679486,17.36354333746771
414.11365204,17.03979978111519
414.54780547,16.758297992304325
414.98194629,16.553828656289806
415.41607447,16.34658143355587
415.85018999,16.14713071466769
416.28429284,15.99013860034979
416.71838299,15.836202219310183
417.15246043,15.748772026539703
417.58652514,15.652085442989288
418.02057709,15.575932469946522
418.45461627,15.513893324099799
418.88864266,15.457757423474794
419.32265625,15.420940527016393
419.756657,15.375850173223197
420.19064491,15.301160064756075
420.62461995,15.22108446861045
421.0585821,15.171790389320108
421.49253135,15.12149872461632
421.92646768,15.091079846987038
422.36039106,15.088930658747016
422.79430148,15.11810604216776
423.22819892,15.161890828573672
423.66208336,15.2512862969868
424.09595478,15.348911497688698
424.52981316,15.46136549369561
424.96365849,15.566215292394158
425.39749074,15.64285443837409
425.83130989,15.700891205320538
426.26511593,15.760456819167285
426.69890883,15.828637242867828
427.13268858,15.90256637720037
427.56645516,15.9846969554749
428.00020855,16.068355972054288
428.43394873,16.157578005841525
428.86767568,16.286191102760736
429.30138939,16.399438087454882
429.73508982,16.53443143718494
430.16877697,16.66559652150103
430.60245081,16.74659444495274
431.03611133,16.79130362282928
431.46975851,16.839017157375338
431.90339232,16.867815132331344
432.33701276,16.90079495478628
432.77061979,16.92269605956852
433.2042134,16.969972169011477
433.63779357,17.062854282091138
434.07136029,17.169439030743817
434.50491352,17.3102001720491
434.93845327,17.466058049045206
435.37197949,17.620782204030146
435.80549219,17.784652989957365
436.23899132,17.923952106383894
436.67247689,18.06353777933394
437.10594887,18.178419407093784
437.53940723,18.2750610379008
437.97285197,18.32312991278411
438.40628306,18.36880680240306
438.83970048,18.424208841355338
439.27310421,18.511485545169492
439.70649424,18.60732298605398
440.13987054,18.716585241737686
440.5732331,18.831017394585558
441.00658189,18.95651802020194
441.4399169,19.081564117914755
441.87323811,19.17292384908365
