wavelength,reflectance
350.60193709,70.64051653235246
351.03772818,71.29217462998902
351.47350942,71.030581278679
351.90928082,71.20706676781019
352.34504234,71.18388597951373
352.78079397,71.51856269425824
353.21653569,71.58465193205653
353.65226748,71.512847959751
354.08798932,71.46064385710521
354.5237012,71.4809012949782
354.95940309,71.52274896086821
355.39509497,71.49298795560583
355.83077683,71.41201732082601
356.26644864,71.54166149828019
356.70211039,71.56166864234672
357.13776206,71.9260795686385
357.57340363,71.83172173947943
358.00903508,71.49845783339657
358.44465639,71.84785697836159
358.88026755,71.85021409673215
359.31586852,72.15440542118462
359.7514593,72.05544841768209
360.18703986,72.35797152215522
360.62261019,71.92621642496611
361.05817026,71.94165722328879
361.49372007,71.7098252754433
361.92925958,71.43242574130021
362.36478878,71.35733795775687
362.80030765,71.16402780050011
363.23581617,71.21055732181671
363.67131432,71.25387645166062
364.10680209,71.4258984390594
364.54227945,71.12182688120268
364.97774638,71.29088224708339
365.41320287,71.57083887478065
365.8486489,71.51975479837725
366.28408445,71.04723033228375
366.71950949,71.17869191028169
367.15492401,71.07310775228743
367.590328,71.1036772706757
368.02572142,71.01028067661613
368.46110427,70.84334791976416
368.89647652,71.02286051061712
369.33183815,70.98879856704679
369.76718915,70.70231818557683
370.2025295,70.82092343396707
370.63785917,70.39434395974692
371.07317815,70.34723013919547
371.50848642,70.36703581975993
371.94378395,70.45874763721905
372.37907074,70.21955261937697
372.81434676,69.91213334952675
373.24961199,70.09506079692913
373.68486642,69.52599271141356
374.12011002,69.94084592223189
374.55534277,70.05833854899706
374.99056467,69.887137937039
375.42577567,70.32509619448638
375.86097578,70.16799017798587
376.29616497,70.21271707610794
376.73134321,70.2142568833527
377.1665105,70.16595240938061
377.6016668,70.32039061170775
378.03681211,70.46906498745832
378.47194641,70.43244713769599
378.90706966,70.2851594256655
379.34218187,70.64815576375919
379.777283,71.06970411411899
380.21237303,70.58191751725938
380.64745196,70.3612241314006
381.08251975,70.45485049388566
381.5175764,70.68790422457933
381.95262187,71.11498053695551
382.38765616,71.09674322035063
382.82267924,71.03739372582618
383.25769109,71.10251275631593
383.6926917,70.56286281911964
384.12768105,70.86012249468173
384.56265911,70.8739480450009
384.99762586,71.02043149915679
385.4325813,71.09482734088131
385.8675254,71.36113440923039
386.30245813,71.78091125970718
386.73737949,71.38454703436703
387.17228945,71.40596081657088
387.60718799,70.94175470322124
388.04207509,70.75113122116969
388.47695074,71.34288953357155
388.91181492,71.25895465092891
389.3466676,71.04395003076408
389.78150877,71.42467573531718
390.21633841,71.00796541820971
390.6511565,70.75923655355378
391.08596302,70.67259367193982
391.52075795,70.78839233158558
391.95554127,70.64009262221992
392.39031297,70.79254019475586
392.82507302,70.32223072231916
393.2598214,69.96595733613054
393.6945581,70.27843111676918
394.1292831,70.26320775666804
394.56399638,70.00838469578687
394.99869791,69.86675512065318
395.43338769,69.65305060795923
395.86806568,69.59296642756337
396.30273188,69.45646754181094
396.73738625,69.31629246620976
397.1720288,69.11349061473832
397.60665948,68.91830663127475
398.04127829,68.65322812803299
398.47588521,68.13676619592646
398.91048022,67.46257909835151
399.34506329,66.66679960105299
399.77963441,65.82536926203194
400.21419356,64.92452718259028
400.64874072,64.01812635957114
401.08327588,63.05667008760007
401.517799,61.72178346341893
401.95231008,60.11612547234518
402.3868091,58.362499271815174
402.82129603,56.486788912873536
403.25577086,54.312628671625525
403.69023356,52.077845770690324
404.12468412,49.68894403450714
404.55912252,47.42454802734528
404.99354874,45.05594130637509
405.42796276,42.65390350918567
405.86236457,40.369422076970736
406.29675414,38.351413308398946
406.73113145,36.48990948069609
407.16549648,34.62631587161321
407.59984922,33.08919321289544
408.03418965,31.435927480775437
408.46851774,29.929716323907964
408.90283349,28.519154720881314
409.33713686,27.209638676396647
409.77142784,26.00517995067109
410.20570642,24.939368066265565
410.63997256,23.980811049483698
411.07422626,23.08749633281653
411.50846749,22.35291350981937
411.94269624,21.68591245673803
