wavelength,corrected_reflectance
350.60193709,
351.03772818,
351.47350942,
351.90928082,
352.34504234,
352.78079397,
353.21653569,
353.65226748,
354.08798932,75.24672387167219
354.5237012,75.2644327070837
354.95940309,75.16589830189203
355.39509497,75.33469670322087
355.83077683,75.19355312061012
356.26644864,75.13605220365262
356.70211039,75.38311189328226
357.13776206,75.63611563079725
357.57340363,75.60574289148036
358.00903508,75.1234930356536
358.44465639,75.3279346572346
358.88026755,75.22329152668708
359.31586852,75.2583564899339
359.7514593,75.2176296883537
360.18703986,75.26165621711947
360.62261019,74.72665359708273
361.05817026,74.64328561205735
361.49372007,74.48401444377734
361.92925958,74.42845173788112
362.36478878,74.2605994759966
362.80030765,74.14363492098319
363.23581617,74.3086036320969
363.67131432,74.47533834657237
364.10680209,74.12414797921593
364.54227945,74.00428664828624
364.97774638,73.99140184646126
365.41320287,73.96511955896355
365.8486489,73.79328541062492
366.28408445,73.59693522746439
366.71950949,73.44805525283651
367.15492401,73.12760430033825
367.590328,73.11513390107763
368.02572142,73.05425607615959
368.46110427,72.90168979071689
368.89647652,72.95864613935963
369.33183815,72.63300090231691
369.76718915,72.61012466188023
370.2025295,72.40954038888691
370.63785917,72.05590795471802
371.07317815,72.1104492771486
371.50848642,72.31345965594032
371.94378395,72.56054385632298
372.37907074,72.30923662502173
372.81434676,72.2216250199998
373.24961199,72.2548824819822
373.68486642,71.75658843624974
374.12011002,71.7455621773407
374.55534277,71.62866870582978
374.99056467,71.5442213295271
375.42577567,71.52857906703592
375.86097578,71.49995401964044
376.29616497,71.47461976991538
376.73134321,71.46294367803446
377.1665105,71.26884750468062
377.6016668,71.658207017055
378.03681211,71.49232857248795
378.47194641,71.56386052406086
378.90706966,71.66612472467098
379.34218187,72.03602914024952
379.777283,72.39019583506327
380.21237303,72.37037453140074
380.64745196,72.34878555347471
381.08251975,72.38092038963616
381.5175764,72.36905820669305
381.95262187,72.7753006113001
382.38765616,72.80131814319115
382.82267924,72.67503556825946
383.25769109,72.44168184156334
383.6926917,72.07348150766585
384.12768105,72.37544410981337
384.56265911,72.05504570050496
384.99762586,71.8161227981377
385.4325813,71.63103946258916
385.8675254,71.77314483522652
386.30245813,71.98872286897439
386.73737949,71.77629869436812
387.17228945,71.70493234152707
387.60718799,71.43768533812808
388.04207509,71.39968376760545
388.47695074,71.95005762783944
388.91181492,72.00749703003346
389.3466676,71.92894419327463
389.78150877,72.10235930893803
390.21633841,71.72752491083514
390.6511565,71.59507580855953
391.08596302,71.57175942052123
391.52075795,71.79229082982177
391.95554127,71.37129971309594
392.39031297,71.43756065293083
392.82507302,70.94427707672838
393.2598214,70.74325221246993
393.6945581,70.8184429411965
394.1292831,70.6803877335788
394.56399638,70.7797443273394
394.99869791,70.98644769272849
395.43338769,70.77509613581006
395.86806568,70.39521221926717
396.30273188,70.35655147921166
396.73738625,70.2175605795132
397.1720288,70.15790302237336
397.60665948,69.80667075471382
398.04127829,69.68935084850924
398.47588521,69.64128665368055
398.91048022,69.24320272430823
399.34506329,68.6820260072759
399.77963441,67.76049095218764
400.21419356,66.7877340451275
400.64874072,65.74186262850637
401.08327588,64.6276910664169
401.517799,63.27761060539835
401.95231008,61.530716023082505
402.3868091,59.69859505466341
402.82129603,57.70380803245782
403.25577086,55.38579700969431
403.69023356,52.912247069602614
404.12468412,50.52623952882975
404.55912252,47.91768331202619
404.99354874,45.42197090636631
405.42796276,42.94418147281196
405.86236457,40.49650798011417
406.29675414,38.269802570308855
406.73113145,36.20059193349064
407.16549648,34.14771141235241
407.59984922,32.43525563516095
408.03418965,30.557117280331028
408.46851774,28.91832007592192
408.90283349,27.360856964078977
409.33713686,26.019640694950898
409.77142784,24.756542615319745
410.20570642,23.588888523205256
410.63997256,22.489984664308672
411.07422626,21.550775531410828
411.50846749,20.734133036125524
411.94269624,19.974010760471838
412.37691248,19.294203211789046
412.81111621,18.718458825172654
413.24530738,18.209470830187776
413.679486,17.780383444442954
414.11365204,17.384266910030668
414.54780547,17.017209522244915
414.98194629,16.65558480467586
415.41607447,16.33139222267974
415.85018999,16.04345865181746
416.28429284,15.806457246858326
416.71838299,15.621924059074809
417.15246043,15.467283149521542
417.58652514,15.32756587859396
418.02057709,15.209888282993507
418.45461627,15.120532417242691
418.88864266,15.061822910028729
419.32265625,15.005510332331964
419.756657,14.918986110850224
420.19064491,14.849903405670535
420.62461995,14.769648354853562
421.0585821,14.681082532412368
421.49253135,14.624757106033746
421.92646768,14.586576032825157
422.36039106,14.579429239444726
422.79430148,14.57517081798502
423.22819892,14.61440166301302
423.66208336,14.66682169079681
424.09595478,14.778262407193708
424.52981316,14.855859440256136
424.96365849,14.944992143625461
425.39749074,15.032931304824533
425.83130989,15.106092888406959
426.26511593,15.159808982225378
426.69890883,15.211012418108881
427.13268858,15.267735140040402
427.56645516,15.327658869314138
428.00020855,15.414533419452832
428.43394873,15.5215690871947
428.86767568,15.647064935910326
429.30138939,15.782850151191791
429.73508982,15.91845457982476
430.16877697,16.006827051237206
430.60245081,16.09972753868776
431.03611133,16.150642272193313
431.46975851,16.205845241313035
431.90339232,16.23133343545281
432.33701276,16.280186950202125
432.77061979,16.314468778760418
433.2042134,16.37932511340615
433.63779357,16.465027459326066
434.07136029,16.561985270759273
434.50491352,16.704253401826097
434.93845327,16.86110846183915
435.37197949,17.016958545874633
435.80549219,17.188548894744386
436.23899132,17.348926584572965
436.67247689,17.500595664239547
437.10594887,17.639801055119115
437.53940723,17.730951942189623
437.97285197,17.816504303405317
438.40628306,17.901037593441895
438.83970048,17.983471744716216
439.27310421,18.079024617604613
439.70649424,18.203135641903163
440.13987054,18.341759057956466
440.5732331,18.494677035815585
441.00658189,18.65844987592537
441.4399169,18.790017764789674
441.87323811,18.892986943316835
