code	label	old_code	collection_day	collection_month	collection_year	death_date	sex_code	refrigerator	tray	row	column	location_code	location	notes	genus	species	country	province	latitude	longitude	elevation	light_dark	histology_location	histology_stage_performed	histology_stage_next_up	rna_location	etoh_voucher	elytron	purpose
BIOUCR0041			5	8	2020								Selvatura, Monteverde	Chrysina boucardi. Aug 5 2000. Richard Whitten Selvatura Monteverde	Chrysina	boucardi	Costa Rica	Puntarenas											
BIOUCR0042			5	8	2020								Selvatura, Monteverde	Chrysina boucardi. Aug 5 2000. Richard Whitten Selvatura Monteverde	Chrysina	boucardi	Costa Rica	Puntarenas											
BIOUCR0043			5	8	2020								Selvatura, Monteverde	Chrysina boucardi. Aug 5 2000. Richard Whitten Selvatura Monteverde	Chrysina	boucardi	Costa Rica	Puntarenas											
BIOUCR0044			5	8	2020								Selvatura, Monteverde	Chrysina boucardi. Aug 5 2000. Richard Whitten Selvatura Monteverde	Chrysina	boucardi	Costa Rica	Puntarenas											
BIOUCR0045			5	8	2020								Selvatura, Monteverde	Chrysina boucardi. Aug 5 2000. Richard Whitten Selvatura Monteverde	Chrysina	boucardi	Costa Rica	Puntarenas											
BIOUCR0046			5	8	2020								Selvatura, Monteverde	Chrysina boucardi. Aug 5 2000. Richard Whitten Selvatura Monteverde	Chrysina	boucardi	Costa Rica	Puntarenas											
BIOUCR0047			5	8	2020								Selvatura, Monteverde	Chrysina boucardi. Aug 5 2000. Richard Whitten Selvatura Monteverde	Chrysina	boucardi	Costa Rica	Puntarenas											
BIOUCR0048			5	8	2020								Selvatura, Monteverde	Chrysina boucardi. Aug 5 2000. Richard Whitten Selvatura Monteverde	Chrysina	boucardi	Costa Rica	Puntarenas											
BIOUCR0049			5	8	2020								Selvatura, Monteverde	Chrysina boucardi. Aug 5 2000. Richard Whitten Selvatura Monteverde	Chrysina	boucardi	Costa Rica	Puntarenas											
BIOUCR0050			4	7	2007								Selvatura, Monteverde	Platycoelia humeralis. July 4, 2007. Colli Rff Whitten. Selvatura Park, Monteverde CR.	Platycoelia	humeralis	Costa Rica	Puntarenas											
BIOUCR0051			4	7	2007								Selvatura, Monteverde	Platycoelia humeralis. July 4, 2007. Colli Rff Whitten. Selvatura Park, Monteverde CR.	Platycoelia	humeralis	Costa Rica	Puntarenas											
BIOUCR0052			4	7	2007								Selvatura, Monteverde	Platycoelia humeralis. July 4, 2007. Colli Rff Whitten. Selvatura Park, Monteverde CR.	Platycoelia	humeralis	Costa Rica	Puntarenas											
BIOUCR0053			4	7	2007								Selvatura, Monteverde	Platycoelia humeralis. July 4, 2007. Colli Rff Whitten. Selvatura Park, Monteverde CR.	Platycoelia	humeralis	Costa Rica	Puntarenas											
BIOUCR0054					1964									P. diversa 1964 Richard Whitten. Veracruz, Mexico	Platycoelia	diversa	Veracruz	Mexico											
BIOUCR0055					1964									P. diversa 1964 Richard Whitten. Veracruz, Mexico	Platycoelia	diversa	Veracruz	Mexico											
BIOUCR0056					1964									P. diversa 1964 Richard Whitten. Veracruz, Mexico	Platycoelia	diversa	Veracruz	Mexico											
BIOUCR0057																													
BIOUCR0058																													
BIOUCR0059																													
BIOUCR0060																													
BIOUCR0061																													
BIOUCR0062																													
BIOUCR0063																													
BIOUCR0064																													
