code	purpose	old_code	collection_day	collection_month	collection_year	label	death_date	sex_code	refrigerator	tray	row	column	location_code	location	notes	genus	species	country	province	latitude	longitude	elevation	light_dark	histology_location	histology_stage_performed	histology_stage_next_up	rna_location	etoh_voucher	elytron	collection
ANGSOL0015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	 Pitilla	Anomala sp. Costa Rica, Estacion Biologica Pitilla. 718 m. 14-May-2022. A. Solis. 10.98688 -85.42717. ASolis003407.	nan	nan	Costa Rica	Cartago	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0016	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	 Pitilla	ASolis003408. Costa Rica. Estacion Biologica Pitilla. 718 m. 14-May-2022. A. Solis. 10.98688 -85.42717. Aparentemente anomala	ASolis003408.	nan	Costa Rica	Cartago	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0017	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Chrysina kalinini. Costa Rica, Los Gigantes del Bosque, Altamira. 1400 m, 4-May-2022. A. Solis. 9.03075 -83.00953 . ASolis003117.	Chrysina	kalinini	Costa Rica	Puntarenas Altamira, Los Gigantes del Bosque	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0018	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Tapantí, río Dos Amigos	Chrysina optima. ASolis000010. Tapanti, Rio Dos Amigos. 31 Jul 2019. A. Solis.	Chrysina	optima	Costa Rica	Cartago	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0019	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Tapantí, río Dos Amigos	Chrysina optima. ASolis000011. Tapanti, Rio Dos Amigos. 31 Jul 2019. A. Solis.	Chrysina	optima	Costa Rica	Cartago	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0020	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Tapantí, río Dos Amigos	Chrysina optima. ASolis000012. Tapanti, Rio Dos Amigos. 31 Jul 2019. A. Solis.	Chrysina	optima	Costa Rica	Cartago	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0021	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Tapantí, río Dos Amigos	Chrysina optima. ASolis000013. Tapanti, Rio Dos Amigos. 31 Jul 2019. A. Solis.	Chrysina	optima	Costa Rica	Cartago	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0022	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Tapantí, río Dos Amigos	Chrysina optima. ASolis000014. Tapanti, Rio Dos Amigos. 31 Jul 2019. A. Solis.	Chrysina	optima	Costa Rica	Cartago	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0023	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Tapantí, río Dos Amigos	Chrysina optima. Costa Rica. Tapanti. Rio Dos Amigos. 1500 m. 31-JUL-2019. A. Solis. 9.70652 -83.78296. ASolis.	Chrysina	optima	Costa Rica	Cartago	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0024	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Perez Zeledon, Antigua Estacion Catie, Villa Mill,s	Chrysina batesi. Costa Rica. Antigua estacion Catie, Villa Mills. 2825 m. 30-May-2022. A. Solis. 9.55416 -83.69004. ASolis003800.	Chrysina	batesi	Costa Rica	San José	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0025	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Perez Zeledon, Antigua Estacion Catie, Villa Mill,s	Chrysina batesi. Costa Rica. Antigua estacion Catie, Villa Mills. 2825 m. 30-May-2022. A. Solis. 9.55416 -83.69004. ASolis003802.	Chrysina	batesi	Costa Rica	San José	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Perez Zeledon, Antigua Estacion Catie, Villa Mill,s	Chrysina batesi. Costa Rica. Antigua estacion Catie, Villa Mills. 2825 m. 30-May-2022. A. Solis. 9.55416 -83.69004. ASolis003803.	Chrysina	batesi	Costa Rica	San José	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0027	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Perez Zeledon, Antigua Estacion Catie, Villa Mill,s	Chrysina batesi. Costa Rica. Antigua estacion Catie, Villa Mills. 2825 m. 30-May-2022. A. Solis. 9.55416 -83.69004. ASolis003801.	Chrysina	batesi	Costa Rica	San José	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0028	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Perez Zeledon, Antigua Estacion Catie, Villa Mill,s	Chrysina batesi. Costa Rica. Antigua estacion Catie, Villa Mills. 2825 m. 30-May-2022. A. Solis. 9.55415 -83.69004, ASolis003804.	Chrysina	batesi	Costa Rica	San José	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0029	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	San Ramón	Chrysina luteomarginata o aurora. Costa Rica, San Ramon. RBioAlberto M. Brenes. 600 m. 16-VI-2010. M. Solis-DelValle.	Chrysina	luteomarginata o aurora	Costa Rica	Alajuela	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0030	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Montes de Oca, Estacion de la Universidad de Costa Rica. Reserva Biologica Alberto Brenes	Chrysina limbata. Costa Rica. Estacion de la Universidad de Costa Rica. Reserva Biologica Alberto Brenes, 915 m. 23-Feb-2020. A. Solis. 10.21883 -84.59704. ASolis0006	Chrysina	limbata	Costa Rica	San José	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0031	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Montes de Oca, Estacion de la Universidad de Costa Rica. Reserva Biologica Alberto Brenes	Chrysina limbata. Costa Rica. Estacion de la Universidad de Costa Rica. Reserva Biologica Alberto Brenes, 915 m. 23-Feb-2020. A. solis. 10.21833 -84.59704. ASolis00658.	Chrysina	limbata	Costa Rica	San José	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0032	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Chrysina limbata. Sin datos.	Chrysina	limbata	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0033	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Pitilla	Chrysina aurigans. Costa Rica, Estacion Biologica Pitilla. 718 m. 6-Oct-2021. A. Solis. 10.98688 -85.42717. ASolis002676.	Chrysina	aurigans	Costa Rica	Cartago	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0034	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	San Ramón, río Tapezco	Chrysina aurigans. Costa Rica, Rio Tapezco, 1800 m. 15-Aug-2020. A. Solis. 10.1853 -84.38233. ASolis001778.	Chrysina	aurigans	Costa Rica	Alajuela	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
ANGSOL0035	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Chrysina chrysargyrea.	Chrysina	chrysargyrea	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	ANGSOL
BIOUCR0001	nan	nan	nan	6.0	2005.0	nan	nan	nan	nan	nan	nan	nan	nan	Cliff house, Monteverde. Costa Rica.	P. cupreomarginata (sin datos)  Filtro Izq: Mas cafe. June 2005. Richard Whitten. Cliff house, Monteverde. Costa Rica. 	Chrysina	cupreomarginata	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0002	nan	nan	nan	6.0	2005.0	nan	nan	nan	nan	nan	nan	nan	nan	Cliff house, Monteverde. Costa Rica.	P. cupreomarginata   Filtro Der: Menos cafe. June 2005. Richard Whitten. Cliff house, Monteverde. Costa Rica. 	Chrysina	cupreomarginata	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0003	nan	nan	nan	6.0	2005.0	nan	nan	nan	nan	nan	nan	nan	nan	Cliff house, Monteverde. Costa Rica.	P. cupreomarginata  . June 2005. Richard Whitten. Cliff house, Monteverde. Costa Rica. 	Chrysina	cupreomarginata	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0004	nan	nan	nan	6.0	2005.0	nan	nan	nan	nan	nan	nan	nan	nan	Cliff house, Monteverde. Costa Rica.	P. cupreomarginata  . June 2005. Richard Whitten. Cliff house, Monteverde. Costa Rica. 	Chrysina	cupreomarginata	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0005	nan	nan	nan	6.0	2005.0	nan	nan	nan	nan	nan	nan	nan	nan	Cliff house, Monteverde. Costa Rica.	P. cupreomarginata  . June 2005. Richard Whitten. Cliff house, Monteverde. Costa Rica. 	Chrysina	cupreomarginata	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0006	nan	nan	nan	6.0	2005.0	nan	nan	nan	nan	nan	nan	nan	nan	Cliff house, Monteverde. Costa Rica.	P. cupreomarginata  . June 2005. Richard Whitten. Cliff house, Monteverde. Costa Rica. 	Chrysina	cupreomarginata	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0007	nan	nan	nan	6.0	2005.0	nan	nan	nan	nan	nan	nan	nan	nan	Cliff house, Monteverde. Costa Rica.	P. cupreomarginata   Filtro Der: Se ve menos cafe. Mas cafe en el centro del elitro izq. June 2005. Richard Whitten. Cliff house, Monteverde. Costa Rica. 	Chrysina	cupreomarginata	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0008	nan	nan	nan	4.0	1981.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	P. chalcothea. April 1981, Mario Posla. Alajuela, Costa Rica	Chrysina	chalcothea	Costa Rica	Alajuela	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0009	nan	nan	nan	4.0	1981.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	P. chalcothea. April 1981, Mario Posla. Alajuela, Costa Rica	Chrysina	chalcothea	Costa Rica	Alajuela	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0010	nan	nan	nan	4.0	1981.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	P. chalcothea. April 1981, Mario Posla. Alajuela, Costa Rica	Chrysina	chalcothea	Costa Rica	Alajuela	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0011	nan	nan	nan	4.0	1981.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	P. chalcothea. April 1981, Mario Posla. Alajuela, Costa Rica	Chrysina	chalcothea	Costa Rica	Alajuela	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0012	nan	nan	nan	4.0	1978.0	nan	nan	nan	nan	nan	nan	nan	nan	San Ramón	P. chalcothea Costa Rica, Guanacaste, San Ramon 29 Abril 1978	Chrysina	chalcothea	Costa Rica	Guanacaste	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0013	nan	nan	nan	4.0	1981.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	P. chalcothea. April 1981, Mario Posla. Alajuela, Costa Rica	Chrysina	chalcothea	Costa Rica	Alajuela	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0014	nan	nan	18.0	5.0	1985.0	nan	nan	nan	nan	nan	nan	nan	nan	Volcán	P. resplendens. May 18, 1985. Richard Whitten. Volcán, Panamá.	Chrysina	resplendens	Panamá	Chiriquí	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0015	nan	nan	18.0	5.0	1985.0	nan	nan	nan	nan	nan	nan	nan	nan	Volcán	P. resplendens. May 18, 1985. Richard Whitten. Volcán, Panamá.	Chrysina	resplendens	Panamá	Chiriquí	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0016	nan	nan	18.0	5.0	1985.0	nan	nan	nan	nan	nan	nan	nan	nan	Volcán	P. resplendens May 18, 1985. Richard Whitten. Volcán, Panamá. Parte inferior de elitros cafe bajo Filtro izq. Plateado bajo filtro derecho	Chrysina	resplendens	Panamá	Chiriquí	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0017	nan	nan	18.0	5.0	1985.0	nan	nan	nan	nan	nan	nan	nan	nan	Volcán	P. resplendens. May 18, 1985. Richard Whitten. Volcán, Panamá.	Chrysina	resplendens	Panamá	Chiriquí	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0018	nan	nan	18.0	5.0	1985.0	nan	nan	nan	nan	nan	nan	nan	nan	Volcán	P. resplendens. May 18, 1985. Richard Whitten. Volcán, Panamá.	Chrysina	resplendens	Panamá	Chiriquí	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0019	nan	nan	18.0	5.0	1985.0	nan	nan	nan	nan	nan	nan	nan	nan	Volcán	P. resplendens. May 18, 1985. Richard Whitten. Volcán, Panamá.	Chrysina	resplendens	Panamá	Chiriquí	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0020	nan	nan	18.0	5.0	1985.0	nan	nan	nan	nan	nan	nan	nan	nan	Volcán	P. resplendens May 18, 1985. Richard Whitten. Volcán, Panamá. Parte central elitros cafe bajo PL. Plateado bajo PR.	Chrysina	resplendens	Panamá	Chiriquí	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0021	nan	nan	18.0	5.0	1985.0	nan	nan	nan	nan	nan	nan	nan	nan	Volcán	P. resplendens 18 de Mayo de 1985 R.W. Volcan, Panama	Chrysina	resplendens	Panamá	Chiriquí	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0022	nan	nan	18.0	5.0	1985.0	nan	nan	nan	nan	nan	nan	nan	nan	Volcán	P. resplendens 18 de Mayo de 1985 R.W. Volcan, Panama	Chrysina	resplendens	Panamá	Chiriquí	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0023	nan	nan	18.0	5.0	1985.0	nan	nan	nan	nan	nan	nan	nan	nan	Volcán	P. resplendens 18 de Mayo de 1985 R.W. Volcan, Panama centro cafe bajo filtro izq. Plateado bajo Filtro derecho.	Chrysina	resplendens	Panamá	Chiriquí	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0024	nan	nan	18.0	5.0	1985.0	nan	nan	nan	nan	nan	nan	nan	nan	Volcán	P. resplendens 18 de Mayo de 1985 R.W. Volcan, Panama	Chrysina	resplendens	Panamá	Chiriquí	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0025	nan	nan	18.0	5.0	1985.0	nan	nan	nan	nan	nan	nan	nan	nan	Volcán	P. resplendens 18 de Mayo de 1985 R.W. Volcan, Panama	Chrysina	resplendens	Panamá	Chiriquí	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0026	nan	nan	18.0	5.0	1985.0	nan	nan	nan	nan	nan	nan	nan	nan	Volcán	P. resplendens 18 de Mayo de 1985 R.W. Volcan, Panama Centro cafe bajo fIltro izq.	Chrysina	resplendens	Panamá	Chiriquí	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0027	nan	nan	18.0	5.0	1985.0	nan	nan	nan	nan	nan	nan	nan	nan	Volcán	P. resplendens 18 de Mayo de 1985 R.W. Volcan, Panama	Chrysina	resplendens	Panamá	Chiriquí	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0028	nan	nan	18.0	5.0	1985.0	nan	nan	nan	nan	nan	nan	nan	nan	Volcán	P. resplendens 18 de Mayo de 1985 R.W. Volcan, Panama	Chrysina	resplendens	Panamá	Chiriquí	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0029	nan	nan	12.0	6.0	2007.0	nan	nan	nan	nan	nan	nan	nan	nan	Monteverde	P. resplendens June 12 2007 Monteverde, CR	Chrysina	resplendens	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0030	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	C. chrysargyrea	Chrysina	chrysargyrea	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0031	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	C. chrysargyrea	Chrysina	chrysargyrea	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0032	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	C. chrysargyrea	Chrysina	chrysargyrea	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0033	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	C. chrysargyrea	Chrysina	chrysargyrea	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0034	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	C. chrysargyrea	Chrysina	chrysargyrea	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0035	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	C. chrysargyrea	Chrysina	chrysargyrea	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0036	nan	nan	29.0	6.0	2007.0	nan	nan	nan	nan	nan	nan	nan	nan	Selvatura, Monteverde	Chrysina sp. June 29, 2007. Selvatura, Monteverde. Colli Richard R. Whitten.	Chrysina	nan	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0037	nan	nan	23.0	6.0	2007.0	nan	nan	nan	nan	nan	nan	nan	nan	Selvatura, Monteverde	June 23, 2007. Selvatura Monteverde CR. 	nan	nan	Costa Rica Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0038	nan	nan	12.0	6.0	2007.0	nan	nan	nan	nan	nan	nan	nan	nan	Selvatura, Monteverde	Chrysina batesi. June 12, 2007. Selvatura Monteverde CR. 	Chrysina	batesi	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0039	nan	nan	12.0	6.0	2007.0	nan	nan	nan	nan	nan	nan	nan	nan	Selvatura, Monteverde	Chrysina sp. June 12, 2007. Colli Margaret. R. Whitten. 7:00 am on roof. Selvatura Park, Monteverde C.R.	Chrysina	nan	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0040	nan	nan	5.0	8.0	2020.0	nan	nan	nan	nan	nan	nan	nan	nan	Selvatura, Monteverde	Chrysina boucardi. Aug 5 2000. Richard Whitten Selvatura Monteverde	Chrysina	boucardi	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0041	nan	nan	5.0	8.0	2020.0	nan	nan	nan	nan	nan	nan	nan	nan	Selvatura, Monteverde	Chrysina boucardi. Aug 5 2000. Richard Whitten Selvatura Monteverde	Chrysina	boucardi	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0042	nan	nan	5.0	8.0	2020.0	nan	nan	nan	nan	nan	nan	nan	nan	Selvatura, Monteverde	Chrysina boucardi. Aug 5 2000. Richard Whitten Selvatura Monteverde	Chrysina	boucardi	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0043	nan	nan	5.0	8.0	2020.0	nan	nan	nan	nan	nan	nan	nan	nan	Selvatura, Monteverde	Chrysina boucardi. Aug 5 2000. Richard Whitten Selvatura Monteverde	Chrysina	boucardi	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0044	nan	nan	5.0	8.0	2020.0	nan	nan	nan	nan	nan	nan	nan	nan	Selvatura, Monteverde	Chrysina boucardi. Aug 5 2000. Richard Whitten Selvatura Monteverde	Chrysina	boucardi	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0045	nan	nan	5.0	8.0	2020.0	nan	nan	nan	nan	nan	nan	nan	nan	Selvatura, Monteverde	Chrysina boucardi. Aug 5 2000. Richard Whitten Selvatura Monteverde	Chrysina	boucardi	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0046	nan	nan	5.0	8.0	2020.0	nan	nan	nan	nan	nan	nan	nan	nan	Selvatura, Monteverde	Chrysina boucardi. Aug 5 2000. Richard Whitten Selvatura Monteverde	Chrysina	boucardi	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0047	nan	nan	5.0	8.0	2020.0	nan	nan	nan	nan	nan	nan	nan	nan	Selvatura, Monteverde	Chrysina boucardi. Aug 5 2000. Richard Whitten Selvatura Monteverde	Chrysina	boucardi	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0048	nan	nan	5.0	8.0	2020.0	nan	nan	nan	nan	nan	nan	nan	nan	Selvatura, Monteverde	Chrysina boucardi. Aug 5 2000. Richard Whitten Selvatura Monteverde	Chrysina	boucardi	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0049	nan	nan	5.0	8.0	2020.0	nan	nan	nan	nan	nan	nan	nan	nan	Selvatura, Monteverde	Chrysina boucardi. Aug 5 2000. Richard Whitten Selvatura Monteverde	Chrysina	boucardi	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0050	nan	nan	4.0	7.0	2007.0	nan	nan	nan	nan	nan	nan	nan	nan	Selvatura, Monteverde	Platycoelia humeralis. July 4, 2007. Colli Rff Whitten. Selvatura Park, Monteverde CR.	Platycoelia	humeralis	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0051	nan	nan	4.0	7.0	2007.0	nan	nan	nan	nan	nan	nan	nan	nan	Selvatura, Monteverde	Platycoelia humeralis. July 4, 2007. Colli Rff Whitten. Selvatura Park, Monteverde CR.	Platycoelia	humeralis	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0052	nan	nan	4.0	7.0	2007.0	nan	nan	nan	nan	nan	nan	nan	nan	Selvatura, Monteverde	Platycoelia humeralis. July 4, 2007. Colli Rff Whitten. Selvatura Park, Monteverde CR.	Platycoelia	humeralis	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0053	nan	nan	4.0	7.0	2007.0	nan	nan	nan	nan	nan	nan	nan	nan	Selvatura, Monteverde	Platycoelia humeralis. July 4, 2007. Colli Rff Whitten. Selvatura Park, Monteverde CR.	Platycoelia	humeralis	Costa Rica	Puntarenas	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0054	nan	nan	nan	nan	1964.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	P. diversa 1964 Richard Whitten. Veracruz, Mexico	Platycoelia	diversa	Veracruz	Mexico	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0055	nan	nan	nan	nan	1964.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	P. diversa 1964 Richard Whitten. Veracruz, Mexico	Platycoelia	diversa	Veracruz	Mexico	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0056	nan	nan	nan	nan	1964.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	P. diversa 1964 Richard Whitten. Veracruz, Mexico	Platycoelia	diversa	Veracruz	Mexico	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0057	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0058	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0059	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0060	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0061	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0062	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0063	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
BIOUCR0064	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	BIOUCR
