code	purpose	old_code	collection_day	collection_month	collection_year	label	death_date	sex_code	refrigerator	tray	row	column	location_code	location	notes	genus	species	country	province	latitude	longitude	elevation	light_dark	histology_location	histology_stage_performed	histology_stage_next_up	rna_location	etoh_voucher	elytron	collection
INBUCR0313	Élitro derecho y mitad de élitro izquierdo, negros, en bolsa para medicion transflectancia y reflectancia.	INB0003014864	nan	5.0	1998.0	C313	nan	nan	nan	nan	nan	nan	nan	Sector La Catarata. Orilla de la carretera.	COSTA RICA. Prov. Cartago. Sector La Catarata. Orilla de la carretera. 1450 m. MAY 1998. R. Delgado. En Flores de Sauravia. L_N_190750_560600 #50826. En Flores de Sauravia. INB0003014864 INBIOCRI COSTA RICA. Sin élitros. Macraspis hirtiventris diurna	Macraspis	hirtiventris	Costa Rica	Cartago	nan	nan	1450.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0314	Élitro derecho en bolsa para mediciones de transflectancia y transmitancia. 	INBIOCRI001036310	21.0	3.0	1989.0	C314	nan	nan	nan	nan	nan	nan	nan	Santa Cecilia Guanacaste Estac. Pitilla,	Ptenomela gratiosa. Estac. Pitilla, 700 m. 9 km S Santa Cecilia Guanacaste.  Pr. COSTA RICA 21 MAR -  21 APR 1989. GNP Blod Sur. 330200, 380200. INBIOCRI001036310. Sin élitro derecho	Ptenomela	gratiosa	Costa Rica	Guanacaste	nan	nan	700.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0315	nan	INBIOCRI002418000	10.0	4.0	1998.0	C315	nan	nan	nan	nan	nan	nan	nan	Finca La Neblina de Willian Gamboa Elizondo	COSTA RICA, Prov. Puntarenas, Finca La Neblina de Willian Gamboa Elizondo. 1960 m. 10 ABR 1998. B. Gamboa. L_S_318500_600200 #50708. INBIOCRI002418000	nan	nan	Costa Rica	Puntarenas	nan	nan	1960.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0321	nan	INBIOCRI002492827	9.0	10.0	1996.0	C321	nan	nan	nan	nan	nan	nan	nan	Sector Santa María, 25 km al NE. de Liberia.	COSTA RICA, Prov. Guanacaste. Sector Santa María, 25 km al NE. de Liberia. 790 m. 9-27 OCT 1996. D. Briceño. Foso L_N_304700_393450 #44748. INBIOCRI002492827. Sin cabeza. (Aparentemente Phanaeus pyrois)	Phanaeus	pyrois	Costa Rica	Guanacaste	nan	nan	790.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0322	nan	nan	nan	nan	nan	C322	nan	nan	nan	nan	nan	nan	nan	nan	Color verde rojizo iridiscente. Sin élitros. 1 elitro para mediciones de transflectancia y transmitancia. 	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0323	nan	INBIOCRI002109381	nan	9.0	2002.0	C323	nan	nan	nan	nan	nan	nan	nan	Est. Quebrada Bonita, R.B. Carara	Phan. pyrois malyi n. ssp P. ARNAUD DET 2002 PARATYPE MALE. Est. Quebrada Bonita, R.B. Carara. Prov. Puntarenas, COSTA RICA.50 m. SET 1994. J. C. Saborío. L_N_194500_469850 #3203. INBIOCRI002109381	Phanaeus	pyrois	Costa Rica	Puntarenas	nan	nan	50.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0324	nan	INBIOCRI002492828	9.0	10.0	1996.0	C324	nan	nan	nan	nan	nan	nan	nan	. Sector Santa María, 25 km al NE. de Liberia.	COSTA RICA. Prov. Guanacaste. Sector Santa María, 25 km al NE. de Liberia. 790 m. 9-27 OCT 1996. D. Briceño. Foso. L_N_304700_393450 #44748. INBIOCRI002492828.  (Aparentemente Phanaeus pyrois)	Phanaeus	pyrois	Costa Rica	Guanacaste	nan	nan	790.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0325	nan	INBIOCRI001930356	nan	7.0	1993.0	C325	nan	nan	nan	nan	nan	nan	nan	Estacion Cuatro Esquinas. P. N. Tortuguero.	Estacion Cuatro Esquinas. P. N. Tortuguero. Prov. Limón, COSTA RICA, 1 m. Jul 1993. R. Delgado. L. N. 280000_590500. #2247. INBIOCRI001930356	nan	nan	Costa Rica	Limón	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0331	nan	INBIOCRI002417996	10.0	4.0	1998.0	C331	nan	nan	nan	nan	nan	nan	nan	Finca La Neblina de Willian Gamboa Elizondo.	COSTA RICA.  Prov Puntarenas. Finca La Neblina de Willian Gamboa Elizondo. 1960 m. 10 ABR 1998. B. Gamboa. L_S_318500_600200 #50708. INBIOCRI002417996	nan	nan	Costa Rica	Puntarenas	nan	nan	1960.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
INBUCR0411	nan	INB0003489977	26.0	5.0	2002.0	C411	nan	M	nan	nan	nan	nan	nan	R. F. Río Macho. Alrededor Estación la Esperanza.	Chrysina chalcothea Det: A Solís. INB0003489977 INBIOCRI COSTA RICA. COSTA RICA. Prov Cartago. R. F. Río Macho. Alrededor Estación la Esperanza. 2650 m. 26-29 MAY 2002, R. González. Luz ambiente L_N_185600_550000 #69624. Sin élitros. Élitro derecho en un vial sin un cuadrito. 	Chrysina	chalcothea	Costa Rica	Cartago	nan	nan	2650.0	nan	nan	nan	nan	nan	nan	nan	INBUCR
