genus	species	binomial	species_code	code	notes	location	latitude	longitude	province	protected_area	canton	district	max_altitude	min_altitude	collection_date_start	collection_date_end	collector
Chrysina	cupreomarginata	Chrysina cupreomarginata	115	532146	Verificar si los de talamanca son diferentes a este	"A.C.C.V.C, Vazquez de Coronado, Cascajal, Pque Nal Braulio Carrillo, Estacion Zurqui, 500 m antes del Tunel Zurqui."	10.0594475	-84.0122231	San Jose	P.N. Braulio Carrillo	Vázquez de Coronado	Cascajal	1673	1400	01/05/1991	31/05/1991	"Maass, Gustavo"
Chrysina	cupreomarginata	Chrysina cupreomarginata	115	1037298	Verificar si los de talamanca son diferentes a este	Estacion Zurqui (el tunel)	10.0603561	-84.0167833	San Jose	P.N. Braulio Carrillo	Vázquez de Coronado	Cascajal	1500	1500	18/08/1985	18/08/1985	"Chacon, Abelardo"
Chrysina	cupreomarginata	Chrysina cupreomarginata	115	1037299	Verificar si los de talamanca son diferentes a este	Estacion Zurqui (el tunel)	10.0603561	-84.0167833	San Jose	P.N. Braulio Carrillo	Vázquez de Coronado	Cascajal	1500	1500	20/09/1985	20/09/1985	"Chacon, Abelardo"
Chrysina	cupreomarginata	Chrysina cupreomarginata	115	1054219	Usado para hacer corte y ver Bouligan.  .  Verificar si los de talamanca son diferentes a este	"A.C.L.A.P, Paraiso, Pque Nal Tapanti"	9.7001897	-83.7829697	Cartago	P.N. Tapanti Macizo de La Muerte	Paraíso	Orori	1600	1500	19/08/1990	19/08/1990	"Para el pase, BIMS-Atta"
Chrysina	cupreomarginata	Chrysina cupreomarginata	115	2248544	Buscar mas de monteverde para ver si espectro es similar o no a otros de esta especie	"Monteverde, Estacion La Casona."	10.3043003	-84.7962042	Puntarenas	Z.P. Arenal-Monteverde	Puntarenas	Monteverde	1600	1500	24/07/1995	06/08/1995	"Martinez, Kattia"
Chrysina	cupreomarginata	Chrysina cupreomarginata	115	2249504		Embalse El Lllano Orosi	9.7654136	-83.8621458	Cartago	No protegida	Paraíso	Orori	1600	1500	01/05/1989	31/05/1989	"Posla, M."
Chrysina	cupreomarginata	Chrysina cupreomarginata	115	2249505	Ex larva. Aparchonado	La Reserva entre Porras y Villegas	9.6992808	-83.7802375	Cartago	P.N. Tapanti Macizo de La Muerte	Paraíso	Orori	1800	1800	06/04/1995	06/04/1995	"Delgado, Roberto"
Chrysina	cupreomarginata	Chrysina cupreomarginata	115	2253302		"Rio Grande de Orosi, desde Puente Rio Dos Amigos hasta la Represa"	9.6956433	-83.7683986	Cartago	P.N. Tapanti Macizo de La Muerte	Paraíso	Orori	1800	1200	01/03/1995	31/03/1995	"Delgado, Roberto"
Chrysina	cupreomarginata	Chrysina cupreomarginata	115	2361339		"Rio Grande de Orosi, desde Puente Rio Dos Amigos hasta la Represa"	9.6956433	-83.7683986	Cartago	P.N. Tapanti Macizo de La Muerte	Paraíso	Orori	1800	1200	01/11/1995	30/11/1995	"Delgado, Roberto"
Chrysina	cupreomarginata	Chrysina cupreomarginata	115	2375565	Aparchonado	"Rio Grande de Orosi, desde Puente Rio Dos Amigos hasta la Represa"	9.6956433	-83.7683986	Cartago	P.N. Tapanti Macizo de La Muerte	Paraíso	Orori	1800	1200	01/03/1996	31/03/1996	"Delgado, Roberto"
Chrysina	cupreomarginata	Chrysina cupreomarginata	115	2376856		"Rio Grande de Orosi, desde Puente Rio Dos Amigos hasta la Represa"	9.6956433	-83.7683986	Cartago	P.N. Tapanti Macizo de La Muerte	Paraíso	Orori	1800	1200	01/09/1995	30/09/1995	"Delgado, Roberto"
Chrysina	cupreomarginata	Chrysina cupreomarginata	115	2376857		"Rio Grande de Orosi, desde Puente Rio Dos Amigos hasta la Represa"	9.6956433	-83.7683986	Cartago	P.N. Tapanti Macizo de La Muerte	Paraíso	Orori	1800	1200	01/09/1995	30/09/1995	"Delgado, Roberto"
Chrysina	cupreomarginata	Chrysina cupreomarginata	115	2388550		"Rio Grande de Orosi, desde Puente Rio Dos Amigos hasta la Represa"	9.6956433	-83.7683986	Cartago	P.N. Tapanti Macizo de La Muerte	Paraíso	Orosi	1800	1200	15/07/1995	15/08/1995	"Delgado, Roberto"
Chrysina	cupreomarginata	Chrysina cupreomarginata	115	2388554		"Rio Grande de Orosi, desde Puente Rio Dos Amigos hasta la Represa"	9.6956433	-83.7683986	Cartago	P.N. Tapanti Macizo de La Muerte	Paraíso	Oroi	1800	1200	15/07/1995	15/08/1995	"Delgado, Roberto"
Chrysina	cupreomarginata	Chrysina cupreomarginata	115	2422833		"Monteverde, Estacion La Casona."	10.3043003	-84.7962042	Puntarenas	Z.P. Arenal-Monteverde	Puntarenas	Monteverde	1600	1500	09/06/1996	25/06/1996	"Martinez, Kattia"
Chrysina	cupreomarginata	Chrysina cupreomarginata	115	2422834		"Monteverde, Estacion La Casona."	10.3043003	-84.7962042	Puntarenas	Z.P. Arenal-Monteverde	Puntarenas	Monteverde	1600	1500	09/06/1996	25/06/1996	"Martinez, Kattia"
Chrysina	cupreomarginata	Chrysina cupreomarginata	115	2452030		"Rio Grande de Orosi, desde Puente Rio Dos Amigos hasta la Represa"	9.6956433	-83.7683986	Cartago	P.N. Tapanti Macizo de La Muerte	Paraíso	Orori	1800	1200	15/05/1996	05/06/1996	"Delgado, Roberto"
Chrysina	cupreomarginata	Chrysina cupreomarginata	115	2453057		"Monteverde, Estacion La Casona."	10.3043003	-84.7962042	Puntarenas	Z.P. Arenal-Monteverde	Puntarenas	Monteverde	1600	1500	03/04/1995	24/04/1995	"Azofeifa Zúñiga, Alejandro"
Chrysina	cupreomarginata	Chrysina cupreomarginata	115	2467329		"Rio Grande de Orosi, desde Puente Rio Dos Amigos hasta la Represa"	9.6956433	-83.7683986	Cartago	P.N. Tapanti Macizo de La Muerte	Paraíso	Orori	1800	1200	22/08/1995	15/09/1995	"Delgado, Roberto"
Chrysina	cupreomarginata	Chrysina cupreomarginata	115	4146715		"Poasito, Alajuela"	101653631	-841946239	Alajuela	No protegida	Alajuela	Sabanilla	2000	1900	07/06/2008	07/06/2008	"Cisneros, Fabricio"
Chrysina	cupreomarginata	Chrysina cupreomarginata	115	4298666		Albergue Monserrat	100366194	-839299461	San Jose	R.F. Cordillera Volcanica Central	Vazquez de Coronado	Jes�s (Dulce Nombre)	1730	1600	23/07/2010	23/07/2010	"Azofeifa Zu�iga, Jose Antonio"
Chrysina	kalinini	Chrysina kalinini	320	209836		"Coto Brus, Sabalito, Finca Cafrosa, 2Km NW de Mellizas."	8.8914731	-82.7929361	Puntarenas	No protegida	Coto Brus	Sabalito	1300	1200	01/02/1990	28/02/1990	"Ramirez, Marvin"
Chrysina	kalinini	Chrysina kalinini	320	353553		"Coto Brus, Sabalito, Finca Cafrosa, 2Km NW de Mellizas."	8.8914731	-82.7929361	Puntarenas	No protegida	Coto Brus	Sabalito	1300	1200	01/05/1991	31/05/1991	"Mora, Gerardo"
Chrysina	kalinini	Chrysina kalinini	320	714869		Estacion Biologica Las Alturas.	8.9494444	-82.8364378	Puntarenas	No protegida	Coto Brus	Sabalito	1500	1350	01/05/1992	31/05/1992	"Ramirez, Marvin"
Chrysina	kalinini	Chrysina kalinini	320	714947		Estacion Biologica Las Alturas.	8.9494444	-82.8364378	Puntarenas	No protegida	Coto Brus	Sabalito	1500	1350	01/05/1992	31/05/1992	"Ramirez, Marvin"
Chrysina	kalinini	Chrysina kalinini	320	776563		Estacion Biologica Las Alturas.	8.9494444	-82.8364378	Puntarenas	No protegida	Coto Brus	Sabalito	1500	1350	23/03/1992	02/05/1992	"Araya, F."
Chrysina	kalinini	Chrysina kalinini	320	987517		Estacion Biologica Las Alturas.	8.9494444	-82.8364378	Puntarenas	No protegida	Coto Brus	Sabalito	1500	1350	01/03/1992	31/03/1992	"Ramirez, Marvin"
