wavelength,L,R,reflectance
350.60193709,96.62305176,48.502242392269515,145.1252941522695
351.03772818,96.9708852,49.4178464589032,146.3887316589032
351.47350942,97.27450981,49.77955328956609,147.0540630995661
351.90928082,97.18240722,50.45185942153288,147.6342666415329
352.34504234,97.09686976,50.64170958230722,147.73857934230722
352.78079397,96.99930905,50.063914094976056,147.06322314497606
353.21653569,97.44781877,50.64006125803731,148.08788002803732
353.65226748,97.59358288,50.60961719271346,148.20320007271346
354.08798932,97.3962974,51.08363201411922,148.47992941411923
354.5237012,97.17502963,51.55943846811613,148.7344680981161
354.95940309,96.88086072,51.75377750186315,148.63463822186316
355.39509497,97.17027803,51.0204284002349,148.1907064302349
355.83077683,97.41686461,51.0870213195084,148.5038859295084
356.26644864,96.9571231,51.13645511344444,148.09357821344446
356.70211039,96.72179562,51.23902614355382,147.9608217635538
357.13776206,96.41070903,51.5713125099011,147.9820215399011
357.57340363,96.0611405,51.717093055118575,147.77823355511856
358.00903508,95.78195342,51.56546870550452,147.34742212550452
358.44465639,95.91136387,52.28621936498625,148.19758323498627
358.88026755,95.73450463,52.359778036236364,148.09428266623638
359.31586852,95.7901934,52.32500290830248,148.11519630830247
359.7514593,95.48298787,51.49270684828916,146.97569471828916
360.18703986,96.31039531,52.4161126817641,148.7265079917641
360.62261019,96.94798823,53.353083859191216,150.30107208919122
361.05817026,96.76181103,52.982417253635106,149.7442282836351
361.49372007,96.93475262,52.971087010247025,149.90583963024702
361.92925958,96.77609592,52.62498051551815,149.40107643551815
362.36478878,97.12564204,52.828469680200726,149.95411172020073
362.80030765,96.69470559,51.9557141293377,148.6504197193377
363.23581617,96.73634391,52.46646830700013,149.20281221700014
363.67131432,96.83226759,52.58386380168943,149.41613139168942
364.10680209,96.8424159,54.26208208707078,151.10449798707077
364.54227945,96.78722775,53.73362046990994,150.52084821990994
364.97774638,96.94671526,53.48179872390671,150.42851398390673
365.41320287,97.30666402,53.145154848553666,150.45181886855366
365.8486489,97.20134494,52.792221837063494,149.9935667770635
366.28408445,96.92886863,52.4867143865135,149.4155830165135
366.71950949,96.86049955,52.35756736428365,149.21806691428367
367.15492401,97.04749679,52.83132954854133,149.87882633854133
367.590328,97.2126465,52.69004561583135,149.90269211583137
368.02572142,97.17129904,52.774145504766906,149.9454445447669
368.46110427,97.27326616,52.86993105940151,150.14319721940151
368.89647652,97.72389907,53.14612389813236,150.87002296813236
369.33183815,97.13187463,52.697861218437886,149.82973584843788
369.76718915,97.56001185,52.900684235821714,150.46069608582172
370.2025295,97.68064228,52.32596225319554,150.00660453319554
370.63785917,98.06772908,52.42279740244726,150.49052648244725
371.07317815,98.31622996,52.298868878922065,150.61509883892205
371.50848642,98.48680936,52.41615677751607,150.90296613751607
371.94378395,98.15256258,52.189744521919444,150.34230710191943
372.37907074,97.92411601,52.180485052094966,150.10460106209496
372.81434676,97.71355043,51.838262654797,149.551813084797
373.24961199,97.83254157,52.23221991136151,150.06476148136153
373.68486642,97.64099515,51.596514099693614,149.2375092496936
374.12011002,97.93580247,51.4926558070126,149.4284582770126
374.55534277,98.15896269,51.84619560623449,150.00515829623447
374.99056467,98.02814111,52.22829899372378,150.25644010372378
375.42577567,98.14759781,52.7268853112244,150.8744831212244
375.86097578,97.93498666,52.29529431384905,150.23028097384906
376.29616497,98.3226443,52.66182689239339,150.98447119239339
376.73134321,98.12215853,52.010310572494866,150.13246910249487
377.1665105,98.33382921,52.25700098570176,150.59083019570176
377.6016668,98.26515525,51.1386316927393,149.40378694273932
378.03681211,98.11859732,51.79537722369148,149.9139745436915
378.47194641,97.97989752,51.64274407496295,149.62264159496294
378.90706966,97.74620285,51.43182354585986,149.17802639585986
379.34218187,97.53689767,51.50105283163754,149.03795050163754
379.777283,97.69765847,52.22704734346905,149.92470581346905
380.21237303,97.43061685,51.72416022300529,149.1547770730053
380.64745196,97.15881258,51.3925743451164,148.5513869251164
381.08251975,97.34625931,50.90262571965581,148.2488850296558
381.5175764,97.37974188,50.7133304546266,148.09307233462658
381.95262187,96.96471725,51.09363289821963,148.05835014821963
382.38765616,96.73892193,51.08864812148217,147.82757005148218
382.82267924,96.90553746,51.55429665267831,148.45983411267832
383.25769109,96.64058026,51.60570518782542,148.24628544782541
383.6926917,96.75176224,52.370248406139496,149.1220106461395
384.12768105,96.92220005,52.12885142255315,149.05105147255316
384.56265911,96.58800114,52.42963908159563,149.01764022159563
384.99762586,96.07935759,52.06862326360144,148.14798085360144
385.4325813,96.26088602,51.21334373504143,147.47422975504142
385.8675254,96.87262357,51.958324069973806,148.8309476399738
386.30245813,96.79408138,52.152635291909625,148.94671667190963
386.73737949,97.0792503,52.14497477387795,149.22422507387796
387.17228945,96.53437143,52.7134925678865,149.2478639978865
387.60718799,95.87443095,52.43779555761963,148.31222650761964
388.04207509,95.75975068,52.20247169900075,147.96222237900076
388.47695074,95.64192057,51.45441310006734,147.09633367006734
388.91181492,95.10910459,51.118853206017384,146.2279577960174
389.3466676,94.90207103,51.141262252177974,146.04333328217797
389.78150877,94.77485928,51.294726681053554,146.06958596105355
390.21633841,94.82258215,50.96667468949401,145.78925683949402
390.6511565,94.89290057,50.946596066633774,145.83949663663378
391.08596302,94.88572499,50.757991789965736,145.64371677996573
391.52075795,95.29566114,50.698638351965016,145.99429949196502
391.95554127,94.90451793,51.13531755733839,146.0398354873384
392.39031297,94.77514461,50.81043870835327,145.58558331835326
392.82507302,94.55104322,50.21503097623325,144.76607419623326
393.2598214,94.53668491,50.17818316283092,144.71486807283094
393.6945581,94.52575028,50.27762887716746,144.80337915716746
394.1292831,94.6345976,50.290917141494305,144.9255147414943
394.56399638,94.40125856,50.1051201717407,144.5063787317407
394.99869791,94.75440223,50.1369332715202,144.8913355015202
395.43338769,95.0238073,49.72784920946875,144.75165650946875
395.86806568,94.68951953,49.50820577255941,144.1977253025594
396.30273188,94.47400355,49.17038225501883,143.64438580501883
396.73738625,94.1362621,48.76687482228534,142.90313692228534
397.1720288,94.05425493,48.491699602764534,142.54595453276454
397.60665948,93.23051348,48.52547466061521,141.75598814061522
398.04127829,92.77185892,47.80214898558878,140.5740079055888
398.47588521,92.74237721,47.75966109533594,140.50203830533593
398.91048022,92.15120213,48.07870600659287,140.22990813659288
399.34506329,91.32796154,47.02955162716276,138.35751316716278
399.77963441,90.30031218,46.84682313609955,137.14713531609956
400.21419356,88.70752401,46.42679226824633,135.13431627824633
400.64874072,87.1463999,45.541609151951754,132.68800905195175
401.08327588,85.51653317,44.99169135148912,130.50822452148913
401.517799,83.67232767,44.003823223454646,127.67615089345465
401.95231008,81.39552904,43.40270572201788,124.79823476201787
402.3868091,79.14777199,42.577158082750806,121.7249300727508
402.82129603,76.48924286,41.87061501613967,118.35985787613967
403.25577086,73.60532029,40.46060533077295,114.06592562077294
403.69023356,70.32841099,39.182310581743295,109.51072157174329
404.12468412,66.95123087,37.64024754254704,104.59147841254705
404.55912252,63.58900822,36.397394708305846,99.98640292830584
404.99354874,60.08780354,34.994291581225816,95.08209512122582
405.42796276,56.51594039,33.153071908822824,89.66901229882282
405.86236457,53.1527648,31.834119208845394,84.9868840088454
406.29675414,50.06796354,30.89213907074819,80.9601026107482
406.73113145,47.05504568,29.769871604702455,76.82491728470245
407.16549648,44.26115645,28.710068979025046,72.97122542902505
407.59984922,41.58825743,27.74430861152425,69.33256604152425
408.03418965,39.03976318,26.94860345632114,65.98836663632115
408.46851774,36.68267226,26.321918978501138,63.004591238501135
408.90283349,34.52736603,25.321006715780083,59.84837274578008
409.33713686,32.52762706,24.48702641228684,57.01465347228684
409.77142784,30.68921797,23.75919383836193,54.44841180836193
410.20570642,28.85237285,23.111764569301982,51.96413741930198
410.63997256,27.33465616,22.62742881609925,49.96208497609925
411.07422626,25.98236639,22.22160418748845,48.20397057748845
411.50846749,24.75709721,21.856812387417484,46.61390959741749
411.94269624,23.59884829,21.551358839037896,45.150207129037895
412.37691248,22.53440554,21.1953881096543,43.7297936496543
412.81111621,21.56280758,20.968748149785956,42.53155572978596
413.24530738,20.72392282,20.669158586228292,41.39308140622829
413.679486,19.94896139,20.46240165708484,40.41136304708484
414.11365204,19.21982775,20.20854781840719,39.42837556840719
414.54780547,18.5180625,20.025598094909682,38.54366059490968
414.98194629,17.8726137,19.930477820032802,37.8030915200328
415.41607447,17.2895382,19.808949727755593,37.09848792775559
415.85018999,16.78454555,19.71514142512883,36.49968697512883
416.28429284,16.36354492,19.776098905041,36.139643825041
416.71838299,15.95048392,19.840545572248622,35.791029492248626
417.15246043,15.53770918,19.86687682081762,35.404586000817616
417.58652514,15.23364321,19.84213389683919,35.07577710683919
418.02057709,14.95328692,19.823154464473948,34.77644138447395
418.45461627,14.63436592,19.78599870893376,34.42036462893376
418.88864266,14.39868672,19.7647562392368,34.163442959236804
419.32265625,14.1881968,19.762683776035264,33.95088057603526
419.756657,13.97635336,19.748527835359642,33.72488119535964
420.19064491,13.74283119,19.722447680797973,33.465278870797974
420.62461995,13.53972885,19.761199428933246,33.30092827893324
421.0585821,13.34950811,19.77937195460302,33.12888006460302
421.49253135,13.1712854,19.838005956126228,33.009291356126226
421.92646768,13.02787572,19.890773828788245,32.918649548788245
422.36039106,12.87022538,19.99736506596522,32.86759044596522
422.79430148,12.76607114,20.108919310449778,32.87499045044978
423.22819892,12.66731205,20.242010652581882,32.90932270258188
423.66208336,12.59178678,20.31791426949091,32.909701049490906
424.09595478,12.46894272,20.4037727639813,32.8727154839813
424.52981316,12.35113873,20.447940346174384,32.79907907617439
424.96365849,12.28387509,20.564024681001875,32.84789977100188
425.39749074,12.18195555,20.65814215951277,32.84009770951277
425.83130989,12.08779985,20.770370437409692,32.85817028740969
426.26511593,12.01868672,20.87674058844994,32.89542730844994
426.69890883,11.92709203,21.008792724740548,32.93588475474055
427.13268858,11.86572162,21.151881075849413,33.01760269584941
427.56645516,11.80365891,21.313955556757822,33.11761446675782
428.00020855,11.77185144,21.487759197758006,33.25961063775801
428.43394873,11.72794539,21.631102973150764,33.35904836315076
428.86767568,11.69189811,21.75072111592739,33.44261922592739
429.30138939,11.67232824,21.816022880450337,33.48835112045034
429.73508982,11.62644953,21.824777422905708,33.45122695290571
430.16877697,11.60270822,21.85445659027891,33.45716481027891
430.60245081,11.58306897,21.88476774117348,33.467836711173476
431.03611133,11.53611462,21.89428406027614,33.43039868027614
431.46975851,11.48970963,21.944145431338196,33.43385506133819
431.90339232,11.46346785,22.04160887628423,33.50507672628423
432.33701276,11.42943473,22.12720070388131,33.55663543388131
432.77061979,11.39101219,22.20196122713426,33.59297341713426
433.2042134,11.35569154,22.33223387054643,33.68792541054643
433.63779357,11.36871519,22.440357813076727,33.809073003076726
434.07136029,11.37286728,22.53110912919901,33.90397640919901
434.50491352,11.34969211,22.615304740754667,33.964996850754666
434.93845327,11.34118562,22.67483318394349,34.01601880394349
435.37197949,11.33581499,22.745360185588698,34.0811751755887
435.80549219,11.34961287,22.82502115399664,34.17463402399664
436.23899132,11.34639214,22.893613040791564,34.24000518079156
436.67247689,11.34699725,22.940538140280548,34.287535390280546
437.10594887,11.3631706,23.053470074443318,34.416640674443315
437.53940723,11.36759507,23.134051270175856,34.50164634017585
437.97285197,11.38402856,23.20004232836738,34.58407088836738
438.40628306,11.39493343,23.28529579238381,34.68022922238381
438.83970048,11.42116948,23.372519471046246,34.79368895104625
439.27310421,11.44413456,23.47385410332057,34.91798866332057
439.70649424,11.44094081,23.522165536550766,34.96310634655077
440.13987054,11.46358841,23.571790617718708,35.035379027718704
440.5732331,11.46830436,23.584492822088638,35.05279718208864
441.00658189,11.45966749,23.574554935121355,35.03422242512136
441.4399169,11.45050183,23.55176965698855,35.00227148698855
441.87323811,11.4609495,23.49267507026486,34.95362457026486
442.30654551,11.46267417,23.402171337027426,34.864845507027425
442.73983906,11.44958856,23.33689050793423,34.78647906793423
443.17311875,11.43580587,23.298317830311447,34.73412370031144
443.60638457,11.41337614,23.243715657499937,34.65709179749994
444.03963649,11.39590916,23.22800765607606,34.62391681607606
444.47287449,11.37919306,23.24771496857838,34.62690802857838
444.90609856,11.3732982,23.26659934407123,34.63989754407123
445.33930868,11.36510272,23.256464586991065,34.62156730699107
445.77250482,11.34963994,23.240282923071472,34.58992286307147
446.20568697,11.36923486,23.247780159617317,34.61701501961732
446.63885511,11.37122679,23.153688784242497,34.5249155742425
447.07200922,11.3567027,23.105941392461325,34.462644092461325
447.50514928,11.34526273,23.042677836077583,34.38794056607758
447.93827527,11.35872805,22.973112747813644,34.33184079781364
448.37138718,11.36084491,22.893508815257352,34.25435372525735
448.80448497,11.35472105,22.802096773665305,34.15681782366531
449.23756865,11.34262843,22.725311226062605,34.067939656062606
449.67063818,11.3417679,22.657779890420894,33.99954779042089
450.10369354,11.33027847,22.582947386423854,33.91322585642385
450.53673472,11.3053557,22.488252550579013,33.79360825057901
450.9697617,11.28776589,22.37911628649477,33.66688217649477
451.40277446,11.25928079,22.304113249520565,33.56339403952057
451.83577298,11.20950649,22.177567680130302,33.387074170130305
452.26875725,11.20298392,22.046518572794362,33.24950249279436
452.70172723,11.17848322,21.90785431716489,33.086337537164894
453.13468291,11.17334721,21.761113924512383,32.93446113451238
453.56762428,11.15656188,21.597208860780317,32.75377074078032
454.00055132,11.14110338,21.414380965865732,32.555484345865736
454.433464,11.13261923,21.224846747127785,32.35746597712779
454.8663623,11.11981593,21.034609919722627,32.15442584972263
455.29924622,11.09417944,20.872750146787343,31.966929586787344
455.73211572,11.08215133,20.728787192999363,31.810938522999365
456.16497079,11.06438073,20.58875619550238,31.65313692550238
456.59781142,11.05245015,20.43523934322956,31.48768949322956
457.03063757,11.02977141,20.331728874077356,31.36150028407736
457.46344923,11.01983925,20.20570073164928,31.22553998164928
457.89624639,11.00861851,20.08202973007351,31.090648240073513
458.32902903,10.99226531,19.96096873813719,30.95323404813719
458.76179711,10.97585394,19.82713724265486,30.80299118265486
459.19455064,10.96507763,19.706595310527508,30.671672940527507
459.62728958,10.92484647,19.564041727151864,30.488888197151866
460.06001392,10.90269614,19.454505163348703,30.357201303348702
460.49272363,10.87507832,19.35106553942061,30.22614385942061
460.92541871,10.85936606,19.256602763934644,30.115968823934644
461.35809913,10.84872993,19.170860880197385,30.019590810197386
461.79076486,10.83334388,19.085527790234018,29.91887167023402
462.22341591,10.82676919,19.002633051923222,29.829402241923223
462.65605223,10.80593435,18.93459144470503,29.74052579470503
463.08867382,10.77671347,18.902642975750958,29.679356445750958
463.52128065,10.76199888,18.880862554025263,29.642861434025264
463.95387271,10.76883562,18.900373995742818,29.66920961574282
464.38644998,10.75571796,18.922318262988796,29.678036222988794
464.81901243,10.76038129,18.944187164986133,29.70456845498613
465.25156005,10.78043128,19.0163771350624,29.7968084150624
465.68409283,10.76830443,19.070936850306385,29.839241280306386
466.11661073,10.79048116,19.1457395463695,29.936220706369504
466.54911374,10.81040215,19.270805395018286,30.081207545018287
466.98160185,10.84737985,19.38764045040327,30.23502030040327
467.41407503,10.87320591,19.500478632360863,30.373684542360863
467.84653327,10.91536798,19.627565434706547,30.542933414706546
468.27897654,10.95751222,19.760314684798807,30.717826904798805
468.71140483,11.01809087,19.928456965674243,30.946547835674245
469.14381811,11.08619198,20.112133637047847,31.19832561704785
469.57621637,11.16299809,20.295811216582596,31.458809306582594
470.0085996,11.24373284,20.514128911475563,31.757861751475563
470.44096776,11.32820871,20.724118719018993,32.052327429018995
470.87332084,11.41956972,20.955822579634862,32.37539229963486
471.30565882,11.50679018,21.212713310055193,32.71950349005519
471.73798169,11.60876911,21.478039049000838,33.08680815900084
472.17028942,11.72803672,21.76070473464548,33.48874145464548
472.602582,11.83412509,22.073429004987652,33.90755409498765
473.0348594,11.95657762,22.404320814758897,34.360898434758894
473.4671216,12.07749399,22.749463063914515,34.82695705391451
473.8993686,12.20318221,23.08782118199257,35.29100339199257
474.33160036,12.32891852,23.450817581404944,35.77973610140494
474.76381687,12.46251877,23.813773381858912,36.27629215185891
475.19601811,12.61132736,24.212330713054126,36.823658073054126
475.62820407,12.76394398,24.625047978900984,37.38899195890099
476.06037471,12.92973054,25.037118073330543,37.96684861333054
476.49253003,13.10802506,25.412942468978255,38.520967528978254
476.92467,13.28700456,25.81319178698676,39.10019634698676
477.35679461,13.4627102,26.198990236199162,39.66170043619916
477.78890383,13.66569423,26.61345509507887,40.27914932507887
478.22099765,13.85556946,27.005370711431354,40.86094017143135
478.65307605,14.04316817,27.407774609265857,41.45094277926586
479.085139,14.24295116,27.84129813691701,42.08424929691701
479.5171865,14.43479968,28.28110461397686,42.71590429397686
479.94921851,14.60876351,28.71721484625438,43.32597835625438
480.38123503,14.78777292,29.167577602352083,43.955350522352084
480.81323602,14.97537283,29.64226622608235,44.617639056082346
481.24522149,15.16208758,30.131307322964027,45.293394902964025
481.67719139,15.34775359,30.58472595046374,45.93247954046374
482.10914572,15.51642619,30.993038991042155,46.50946518104216
482.54108446,15.69594346,31.373486962007792,47.06943042200779
482.97300758,15.86249986,31.720387174082347,47.58288703408235
483.40491507,16.03644899,32.05404647667138,48.090495466671385
483.83680691,16.21194245,32.325725720741865,48.53766817074187
484.26868308,16.38812492,32.593947630472385,48.98207255047238
484.70054356,16.55271059,32.83393443869733,49.38664502869733
485.13238833,16.71197295,33.08002244058125,49.79199539058125
485.56421738,16.86423682,33.32715754133083,50.19139436133082
485.99603067,17.02154278,33.55769221190407,50.57923499190407
486.4278282,17.16736652,33.80132544452134,50.96869196452134
486.85960995,17.3122842,34.05493007309013,51.36721427309013
487.29137589,17.45845794,34.31385052787186,51.77230846787185
487.72312601,17.59532358,34.557741464038095,52.153065044038094
488.15486029,17.7315865,34.792957963881754,52.52454446388175
488.5865787,17.86413069,35.01264583125576,52.87677652125576
489.01828124,18.0030795,35.219112379389856,53.222191879389854
489.44996788,18.14643634,35.40460827468971,53.55104461468971
489.8816386,18.28964801,35.60233148505492,53.89197949505492
490.31329338,18.42981627,35.7766329773479,54.206449247347905
490.7449322,18.56631033,35.93020553577574,54.49651586577574
491.17655505,18.70178741,36.06076324306699,54.76255065306699
491.6081619,18.84507765,36.20795265386723,55.05303030386723
492.03975274,18.99170285,36.346631385831586,55.33833423583158
492.47132755,19.13119259,36.46934360348557,55.60053619348557
492.90288631,19.27058755,36.58161432623292,55.852201876232925
493.33442899,19.41540183,36.683514977297015,56.098916807297016
493.76595559,19.54378427,36.83126646194167,56.37505073194167
494.19746607,19.67299771,36.99205186592372,56.66504957592372
494.62896043,19.79675375,37.13902575332729,56.93577950332729
495.06043864,19.93179585,37.32212214947276,57.25391799947276
495.49190069,20.07031686,37.52689014939682,57.59720700939682
495.92334655,20.19663142,37.751707637552364,57.94833905755236
496.3547762,20.33754475,37.9841476830764,58.3216924330764
496.78618963,20.47816514,38.18679691474772,58.66496205474772
497.21758682,20.63394708,38.41068572513424,59.04463280513424
497.64896774,20.78650671,38.58477672700193,59.371283437001935
498.08033239,20.96837904,38.74004451358774,59.708423553587735
498.51168074,21.14753039,38.840172846868825,59.987703236868825
498.94301276,21.33360937,38.93063137100421,60.264240741004215
499.37432845,21.52957113,39.01398671823291,60.54355784823291
499.80562778,21.73143151,39.06530211647796,60.79673362647796
500.23691074,21.93404007,39.14479270606181,61.0788327760618
500.6681773,22.13379674,39.207795449599196,61.3415921895992
501.09942745,22.34005384,39.29042912528991,61.630482965289914
501.53066116,22.53801114,39.399091887138724,61.93710302713872
501.96187842,22.73716362,39.540321077078744,62.27748469707875
502.39307921,22.92367054,39.70716846882856,62.63083900882856
502.82426351,23.10192259,39.88689216762694,62.98881475762694
503.2554313,23.28296381,40.07841895362609,63.36138276362609
503.68658256,23.44933457,40.23346340075821,63.682797970758216
504.11771727,23.6333517,40.41579106796834,64.04914276796833
504.54883542,23.8121547,40.62103594847102,64.43319064847103
504.97993698,23.98533806,40.77420525952513,64.75954331952514
505.41102193,24.16283656,40.93457896416139,65.09741552416139
505.84209026,24.34226085,41.12080326283035,65.46306411283035
506.27314195,24.51942159,41.29070170247836,65.81012329247835
506.70417698,24.70955723,41.470991203387484,66.18054843338749
507.13519532,24.9076164,41.620647701934324,66.52826410193433
507.56619696,25.10411566,41.77250886870559,66.87662452870559
507.99718189,25.29756495,41.938902518508776,67.23646746850878
508.42815007,25.49508566,42.10178990052447,67.59687556052447
508.8591015,25.67922774,42.274199199580885,67.95342693958088
509.29003615,25.86168881,42.461740258404284,68.32342906840428
509.72095401,26.03571962,42.65638695976183,68.69210657976183
510.15185505,26.2115957,42.903014667233826,69.11461036723382
510.58273926,26.37307328,43.165195143204286,69.53826842320429
511.01360661,26.54552899,43.46204954039804,70.00757853039804
511.44445709,26.70266636,43.796306482904825,70.49897284290482
511.87529069,26.86740832,44.16126580571127,71.02867412571126
512.30610737,27.039848,44.532744308084894,71.5725923080849
512.73690712,27.21022463,44.88584875591399,72.096073385914
513.16768992,27.38957371,45.27087862480526,72.66045233480526
513.59845576,27.5835627,45.60043702404319,73.18399972404319
514.02920461,27.78673687,45.90514716243209,73.69188403243209
514.45993645,28.00838464,46.15497201868983,74.16335665868984
514.89065127,28.24688435,46.39310859849311,74.6399929484931
515.32134905,28.50054556,46.55266587021722,75.05321143021722
515.75202976,28.7885359,46.668210808166755,75.45674670816675
516.18269339,29.09306953,46.74274726902663,75.83581679902663
