code	genus	species	x0	y0	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6
CICIMAUCR0104	Chrysina	resplendens	586.0	1.0	755.0	1.061263556672878	1222.0	0.44550497582505866	1301.0	0.44334283723100376	1385.0	0.44042747022178125				
CICIMAUCR0105	Chrysina	kalinini	586.0	1.0	776.0	1.2894620099264786	1396.0	0.5291779108518637	1581.0	0.4381613140894187	1668.0	0.4390327277972074				
CICIMAUCR0158	Chrysina	cupreomarginata	572.0	1.0	742.0	0.856289595722265	1113.0	0.3555357784458375	1213.0	0.3443481769464651						
CICIMAUCR0001	Chrysina	kalinini	584.0	1.0	774.0	1.2648646694008183	893.0	1.0430448095323668	1302.0	0.9578781181160161	1655.0	0.6371644314550923	1850.0	0.5817814302478339		
CICIMAUCR0006	Chrysina	kalinini	557.0	1.0	774.0	1.4125275068315568	921.0	1.2467064232899365	1120.0	1.2214136532724869	1305.0	1.1048214288893607	1658.0	0.5418285388661339	1857.0	0.5319380299079451
CICIMAUCR0008	Chrysina	kalinini	589.0	1.0	768.0	1.196931932549462	894.0	0.9699572481549064	1119.0	0.9325817772569145	1300.0	0.8213110762943883	1658.0	0.4069135385735891		
CICIMAUCR0012	Chrysina	cupreomarginata	575.0	1.0	832.0	0.9853174418606523	885.0	0.9897155625524358	1116.0	0.9902188969517167	1307.0	0.9205298151801148	1660.0	0.5355224530595409	1863.0	0.5400757987003593
CICIMAUCR0015	Chrysina	resplendens	597.0	1.0	867.0	1.419891006667062	1119.0	1.5005235894384803	1307.0	1.3205606632204951	1660.0	0.5113480833650781	1864.0	0.5403205197781625		
CICIMAUCR0018	Chrysina	cupreomarginata	584.0	1.0	894.0	1.0347223226733404	1119.0	0.9718794703515945	1308.0	0.8836405505022473	1661.0	0.49086978114362106	1865.0	0.4982040099377699		
CICIMAUCR0019	Chrysina	cupreomarginata	560.0	1.0	1122.0	1.3261814019996991	1310.0	1.2518383895854903	1659.0	0.7019235102268147	1864.0	0.7112372870423891				
CICIMAUCR0020	Chrysina	resplendens	602.0	1.0	867.0	1.0193296879492912	1120.0	0.9402672991685481	1307.0	0.8410443747779945	1660.0	0.37252935206930027	1865.0	0.3970856787642813		
CICIMAUCR0021	Chrysina	resplendens	594.0	1.0	833.0	0.9950189416701066	893.0	1.069444081577201	1116.0	0.967458297844917	1309.0	0.8831757908909291	1660.0	0.4387859216798954	1864.0	0.4522267566112961
CICIMAUCR0070	Chrysina	resplendens	597.0	1.0	879.0	1.2908745610786299	1124.0	1.1918420258021207	1298.0	1.1641384504069336	1653.0	0.8962905180473505	1849.0	0.8335849599513232		
CICIMAUCR0071	Chrysina	resplendens	588.0	1.0	754.0	1.0432867000515862	867.0	0.8866206274044368	1118.0	0.8730095582535317	1297.0	0.8251272629169649	1654.0	0.4759553644260534	1847.0	0.42546336778501814
CICIMAUCR0097	Chrysina	kalinini	602.0	1.0	784.0	1.259590074037232	1130.0	0.7071392874479312	1308.0	0.7597976047307661						
CICIMAUCR0098	Chrysina	cupreomarginata	566.0	1.0	874.0	1.0663923242642717	1120.0	0.9645000655587812	1308.0	0.8527584306374143	1866.0	0.3696061741174173				
CICIMAUCR0100	Chrysina	cupreomarginata	584.0	1.0	680.0	0.8023974099556019	736.0	0.8302890597357359	889.0	1.0020992594047073	1118.0	0.8955121078273858	1308.0	0.7960602548823745	1864.0	0.3505334569490445
CICIMAUCR0101	Chrysina	resplendens	599.0	1.0	754.0	0.9523295994910759	868.0	0.8503271403136938	1116.0	0.7321266188122398	1304.0	0.5983906207207055				
CICIMAUCR0104	Chrysina	resplendens	591.0	1.0	763.0	0.9780624221877587	870.0	0.8568571628506952	1113.0	0.7722093775785351	1304.0	0.6611622000441645				
CICIMAUCR0113	Chrysina	kalinini	603.0	1.0	702.0	0.98225921234302	806.0	1.218398449575361	868.0	1.034799439226873	1120.0	0.8266778157768818	1299.0	0.7117086159887593		
CICIMAUCR0116	Chrysina	kalinini	492.0	1.0	599.0	2.231757378596278	805.0	2.927333156822774	1109.0	1.662792235598022	1295.0	1.3650691651145048				
CICIMAUCR0141	Chrysina	kalinini	593.0	1.0	666.0	0.7753592142152937	786.0	1.2214684684548385	1127.0	0.8542426806510391	1302.0	0.8541498408932863	1654.0	0.506843699935301	1849.0	0.44948781337200605
CICIMAUCR0158	Chrysina	cupreomarginata	573.0	1.0	868.0	1.094646297733098	1123.0	1.1389740613174169	1298.0	1.093525528226553	1654.0	0.7665946271161543	1849.0	0.708523629687267		
