Time1=160ms:Average1=5:Objective=NA:Aperture=NA: (5/15/2019 2:16:54 PM)
5/15/2019 2:16:54 PM
Counts
NA
Ap#: NA
Avg1: 5.000000
Avg2: 0.000000
Int.Time1:160.000000
Int.Time2:0.000000
350.16613620,1000.03225806
350.60193709,999.32258065
351.03772818,999.86451613
351.47350942,999.47741935
351.90928082,999.64516129
352.34504234,999.18709677
352.78079397,999.46451613
353.21653569,1001.48387097
353.65226748,1001.63225806
354.08798932,1000.64516129
354.52370120,1000.11612903
354.95940309,1000.16129032
355.39509497,1000.50967742
355.83077683,999.91612903
356.26644864,999.79354839
356.70211039,999.49032258
357.13776206,999.86451613
357.57340363,1000.18064516
358.00903508,1000.33548387
358.44465639,1001.28387097
358.88026755,1002.78709677
359.31586852,1003.60000000
359.75145930,1003.32258065
360.18703986,1002.98709677
360.62261019,1002.34838710
361.05817026,1003.19354839
361.49372007,1002.14193548
361.92925958,1002.89032258
362.36478878,1004.13548387
362.80030765,1004.35483871
363.23581617,1004.49032258
363.67131432,1006.32903226
364.10680209,1005.81935484
364.54227945,1005.37419355
364.97774638,1006.31612903
365.41320287,1006.89677419
365.84864890,1007.64516129
366.28408445,1007.33548387
366.71950949,1006.27096774
367.15492401,1006.90322581
367.59032800,1007.12903226
368.02572142,1008.01290323
368.46110427,1008.71612903
368.89647652,1008.77419355
369.33183815,1008.52903226
369.76718915,1009.12903226
370.20252950,1010.26451613
370.63785917,1010.67096774
371.07317815,1010.46451613
371.50848642,1010.38064516
371.94378395,1009.65806452
372.37907074,1008.71612903
372.81434676,1008.27096774
373.24961199,1008.61935484
373.68486642,1008.29677419
374.12011002,1008.81935484
374.55534277,1008.38709677
374.99056467,1008.20645161
375.42577567,1008.10967742
375.86097578,1007.21935484
376.29616497,1007.13548387
376.73134321,1007.00645161
377.16651050,1005.61935484
377.60166680,1006.06451613
378.03681211,1007.11612903
378.47194641,1006.24516129
378.90706966,1006.73548387
379.34218187,1005.83225806
379.77728300,1006.24516129
380.21237303,1006.44516129
380.64745196,1006.36129032
381.08251975,1007.10967742
381.51757640,1006.14838710
381.95262187,1006.15483871
382.38765616,1006.94193548
382.82267924,1006.98064516
383.25769109,1006.90322581
383.69269170,1005.73548387
384.12768105,1005.38064516
384.56265911,1005.39354839
384.99762586,1005.29677419
385.43258130,1006.34193548
385.86752540,1006.67096774
386.30245813,1006.48387097
386.73737949,1006.05806452
387.17228945,1006.25806452
387.60718799,1005.34838710
388.04207509,1004.17419355
388.47695074,1005.14193548
388.91181492,1005.61935484
389.34666760,1004.90322581
389.78150877,1005.29677419
390.21633841,1004.69677419
390.65115650,1005.07096774
391.08596302,1005.89032258
391.52075795,1005.36774194
391.95554127,1004.82580645
392.39031297,1004.24516129
392.82507302,1003.93548387
393.25982140,1005.14838710
393.69455810,1004.55483871
394.12928310,1003.85161290
394.56399638,1003.50322581
394.99869791,1003.80000000
395.43338769,1003.85161290
395.86806568,1003.34193548
396.30273188,1003.42580645
396.73738625,1003.54838710
397.17202880,1004.07741935
397.60665948,1004.49032258
398.04127829,1004.01290323
398.47588521,1004.94838710
398.91048022,1004.64193548
399.34506329,1004.50000000
399.77963441,1004.81612903
400.21419356,1004.91935484
400.64874072,1005.50645161
401.08327588,1006.39677419
401.51779900,1007.96451613
401.95231008,1007.00967742
402.38680910,1006.51290323
402.82129603,1007.29354839
403.25577086,1008.15806452
403.69023356,1009.64838710
404.12468412,1009.86129032
404.55912252,1009.40322581
404.99354874,1009.33225806
405.42796276,1010.11935484
405.86236457,1009.95806452
406.29675414,1011.22258065
406.73113145,1009.95806452
407.16549648,1010.48064516
407.59984922,1011.59677419
408.03418965,1012.02258065
408.46851774,1012.16451613
408.90283349,1012.30645161
409.33713686,1011.60322581
409.77142784,1011.95161290
410.20570642,1011.91935484
410.63997256,1011.60322581
411.07422626,1011.35806452
411.50846749,1011.38387097
411.94269624,1010.70645161
412.37691248,1010.04516129
412.81111621,1009.46451613
413.24530738,1009.31612903
413.67948600,1010.17419355
414.11365204,1010.32903226
414.54780547,1009.41935484
414.98194629,1009.43225806
415.41607447,1009.61935484
415.85018999,1009.82580645
416.28429284,1008.93548387
416.71838299,1008.37419355
417.15246043,1007.17419355
417.58652514,1007.22580645
418.02057709,1006.94838710
418.45461627,1007.18064516
418.88864266,1007.44516129
419.32265625,1008.01290323
419.75665700,1007.23225806
420.19064491,1008.24516129
420.62461995,1008.00645161
421.05858210,1006.99354839
421.49253135,1006.89032258
421.92646768,1006.93548387
422.36039106,1006.45161290
422.79430148,1006.90967742
423.22819892,1007.24516129
423.66208336,1006.80000000
424.09595478,1008.10967742
424.52981316,1008.18064516
424.96365849,1008.44516129
425.39749074,1009.35483871
425.83130989,1009.32258065
426.26511593,1009.20000000
426.69890883,1008.98064516
427.13268858,1008.83225806
427.56645516,1007.98709677
428.00020855,1009.40645161
428.43394873,1008.99354839
428.86767568,1009.16774194
429.30138939,1009.21935484
429.73508982,1010.05161290
430.16877697,1010.17419355
430.60245081,1010.68387097
431.03611133,1009.88387097
431.46975851,1010.78064516
431.90339232,1010.44516129
432.33701276,1011.79354839
432.77061979,1011.74838710
433.20421340,1011.83870968
433.63779357,1011.53548387
434.07136029,1011.81290323
434.50491352,1011.91612903
434.93845327,1011.83870968
435.37197949,1010.86451613
435.80549219,1011.14838710
436.23899132,1011.00645161
436.67247689,1011.71612903
437.10594887,1012.16129032
437.53940723,1011.27096774
437.97285197,1011.07096774
438.40628306,1012.31612903
438.83970048,1011.95483871
439.27310421,1012.73548387
